model,final_epoch,final_loss,final_accuracy,min_loss,max_accuracy,final_emb,final_L1,final_L2,final_L3,final_L4,final_L5,final_L6,final_L7,final_L8,final_L9,final_L10,final_L11,final_L12
bert_uncased_L-12_H-768_A-12,200,0.0017938945330334,1.0,0.0,1.0,14.788579870153356,12.473976841679326,12.474826671459056,14.070617110640914,17.447419343171298,17.806889145462602,18.94516302038122,22.14715434886791,23.90950520833333,23.84328771520544,24.17230365894459,25.72196169252749,20.495016168665003
bert_uncased_L-2_H-128_A-2,200,0.5921239874981068,0.9444444444444444,0.0,1.0,12.595070874249494,9.213545128151225,11.844908678973162,,,,,,,,,,
bert_uncased_L-4_H-256_A-4,200,0.0474951405216146,1.0,0.0,1.0,16.678253173828125,16.981884143970632,14.453985708731192,14.533412792064526,13.694001798276547,,,,,,,,
bert_uncased_L-4_H-512_A-8,200,0.0069731182798191,1.0,0.0,1.0,18.05699736983688,15.793611314561632,16.12264279966001,20.73902780038339,17.9021031415021,,,,,,,,
bert_uncased_L-8_H-512_A-8,200,0.0052713892698563,1.0,0.0,1.0,19.80463225753219,19.81763853850188,18.080785539415142,18.188077714708115,17.262755782515914,22.30790936505353,23.94708393238209,25.52719483552156,18.83041028623228,,,,
