epoch,loss,accuracy,emb,L1,L2,scenario
0,0.0,0.0,12.578866003206736,9.412113231387949,12.461404477312266,prajjwal1_bert_tiny_0_001
1,1.099862714065663,0.3551912568306011,12.57882595235967,9.41177775343042,12.461178451287942,prajjwal1_bert_tiny_0_001
2,1.0969384107433382,0.366120218579235,12.578663824251658,9.411483042009976,12.460496822558683,prajjwal1_bert_tiny_0_001
3,1.0978946123401108,0.3806921675774135,12.578393932683005,9.411173766645144,12.458091985983929,prajjwal1_bert_tiny_0_001
4,1.0975767178613631,0.3497267759562841,12.578360559293264,9.409640939292144,12.45524419287732,prajjwal1_bert_tiny_0_001
5,1.1048436136627893,0.3224043715846995,12.578110693148142,9.408609303403203,12.444249213936116,prajjwal1_bert_tiny_0_001
6,1.0947964495431313,0.3770491803278688,12.577684398991597,9.406664231652988,12.435663532472482,prajjwal1_bert_tiny_0_001
7,1.090675833012454,0.3752276867030965,12.577811242887014,9.40729367059871,12.429122264702244,prajjwal1_bert_tiny_0_001
8,1.0946157656080735,0.3570127504553734,12.577870367220408,9.407549679170758,12.43455175319873,prajjwal1_bert_tiny_0_001
9,1.096728078220277,0.3642987249544626,12.577549932650095,9.406933011470162,12.4173712252702,prajjwal1_bert_tiny_0_001
10,1.0926084572717358,0.3715846994535519,12.576810840266216,9.408772786458334,12.39831668735636,prajjwal1_bert_tiny_0_001
11,1.088914244987057,0.3861566484517304,12.57678413043691,9.405667115647502,12.400048733626123,prajjwal1_bert_tiny_0_001
12,1.087763614776139,0.3679417122040073,12.577205657958984,9.408114643479088,12.385541280110678,prajjwal1_bert_tiny_0_001
13,1.0869286155874396,0.366120218579235,12.576409338167672,9.395808450945522,12.368802541374944,prajjwal1_bert_tiny_0_001
14,1.0854285267098571,0.3989071038251366,12.576574329035749,9.387191299966558,12.36542260842245,prajjwal1_bert_tiny_0_001
15,1.0824065393003175,0.4007285974499089,12.577102661132812,9.3769865817711,12.345248786912371,prajjwal1_bert_tiny_0_001
16,1.08192099096128,0.4116575591985428,12.576007843017578,9.372776149617737,12.34078993389081,prajjwal1_bert_tiny_0_001
17,1.0740748837128795,0.418943533697632,12.57472513890223,9.368098927760167,12.310448971385297,prajjwal1_bert_tiny_0_001
18,1.0699923390247783,0.4353369763205829,12.573759089402165,9.35474165063521,12.282918398497534,prajjwal1_bert_tiny_0_001
19,1.0637729762898986,0.4608378870673952,12.574302673339844,9.339993905934262,12.239533651939071,prajjwal1_bert_tiny_0_001
20,1.058249175005706,0.4845173041894353,12.572463044269057,9.325656487859227,12.240709961437789,prajjwal1_bert_tiny_0_001
21,1.0461123575929736,0.5191256830601093,12.573540678875476,9.304287498765955,12.165260551188595,prajjwal1_bert_tiny_0_001
22,1.0353229280377998,0.5227686703096539,12.57367420022822,9.297598639038307,12.125821556549909,prajjwal1_bert_tiny_0_001
23,1.0166826744331472,0.5610200364298725,12.57514381061269,9.291138265085133,12.101016810682951,prajjwal1_bert_tiny_0_001
24,1.012829103973611,0.5446265938069217,12.576282501220703,9.269491094926233,12.086612284509211,prajjwal1_bert_tiny_0_001
25,0.9889647616497588,0.599271402550091,12.578415868929392,9.244639884795864,12.003808672962291,prajjwal1_bert_tiny_0_001
26,0.9742022776647128,0.5974499089253188,12.577074047429097,9.226946276610883,11.998451997239298,prajjwal1_bert_tiny_0_001
27,0.9496301180243708,0.6338797814207651,12.578775402409564,9.19462078212606,11.945181521778768,prajjwal1_bert_tiny_0_001
28,0.925120036784417,0.644808743169399,12.577519408123525,9.191155751546225,11.885958979038593,prajjwal1_bert_tiny_0_001
29,0.9016331121569774,0.6666666666666666,12.576622009277344,9.169080890592982,11.844347371863972,prajjwal1_bert_tiny_0_001
30,0.8533849299279719,0.692167577413479,12.577644348144531,9.175422696250818,11.78193502651972,prajjwal1_bert_tiny_0_001
31,0.8284579246204842,0.7085610200364298,12.574729919433594,9.179880666819644,11.815110962247587,prajjwal1_bert_tiny_0_001
32,0.8052267465869368,0.7012750455373407,12.574507715054985,9.177908676786718,11.783110384081231,prajjwal1_bert_tiny_0_001
33,0.7681914715601881,0.7085610200364298,12.576007843017578,9.164418566205246,11.73240628963394,prajjwal1_bert_tiny_0_001
34,0.7312714056890519,0.7723132969034608,12.576575280972952,9.168906415095094,11.766184329118015,prajjwal1_bert_tiny_0_001
35,0.7046113224845983,0.7632058287795993,12.578240392855172,9.142945197544895,11.745913618466458,prajjwal1_bert_tiny_0_001
36,0.6689605409981775,0.7795992714025501,12.577305792025095,9.14350701420685,11.763038739480608,prajjwal1_bert_tiny_0_001
37,0.6372905653682562,0.8051001821493625,12.576945292710825,9.146642292349282,11.778234304626132,prajjwal1_bert_tiny_0_001
38,0.6017171528821434,0.825136612021858,12.578563690185549,9.151042708933678,11.763242057980952,prajjwal1_bert_tiny_0_001
39,0.5980690619984611,0.8032786885245902,12.580208776644236,9.14074302631649,11.784045853467152,prajjwal1_bert_tiny_0_001
40,0.5663283482492513,0.8160291438979964,12.582398412874705,9.140639626480407,11.720160708401371,prajjwal1_bert_tiny_0_001
41,0.5340239672712941,0.8451730418943534,12.583855627230172,9.133367646153072,11.749980433173953,prajjwal1_bert_tiny_0_001
42,0.5161050292094983,0.8397085610200364,12.58600043903066,9.140438594019043,11.763503826815358,prajjwal1_bert_tiny_0_001
43,0.5151960354142284,0.8360655737704918,12.5855712890625,9.133811770023978,11.744701712075043,prajjwal1_bert_tiny_0_001
44,0.4887572514989119,0.8561020036429873,12.5858030336585,9.144894368878695,11.769527476993416,prajjwal1_bert_tiny_0_001
45,0.4608934114539558,0.8743169398907104,12.586763378483784,9.146614991902002,11.77313365137208,prajjwal1_bert_tiny_0_001
46,0.4200440361308704,0.8925318761384335,12.58935546875,9.136162992383612,11.750654606219848,prajjwal1_bert_tiny_0_001
47,0.4295626493316747,0.8743169398907104,12.59217261920644,9.125921183379404,11.741732842283822,prajjwal1_bert_tiny_0_001
48,0.396809557150839,0.9052823315118396,12.591956140347952,9.131374366079308,11.75022802022854,prajjwal1_bert_tiny_0_001
49,0.3729376015550235,0.9253187613843352,12.592785833529,9.126401793544192,11.757308779301322,prajjwal1_bert_tiny_0_001
