epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,scenario
0,0.0,0.0,19.80352020263672,19.81544949057324,18.099218205241776,18.135854668955982,16.763726934492045,21.61708150839328,22.80044947556459,29.28989417348837,16.263658881404577,prajjwal1_bert-medium_0_001
1,1.21946981652404,0.3078324225865209,19.80347633014394,19.81553006476175,18.09879778252273,18.13316017248157,16.7520905930705,21.60256261773448,22.79085329538703,29.338248859120636,16.188823359477283,prajjwal1_bert-medium_0_001
2,1.1716543935470023,0.3132969034608379,19.803379051889443,19.816349064283248,18.10086487594632,18.13311875973894,16.741346251552006,21.57755625573664,22.778352775643214,29.39964505666375,16.056976485122096,prajjwal1_bert-medium_0_001
3,1.112788205806892,0.3533697632058288,19.80321884850118,19.816464575262017,18.101492390172293,18.13253802245649,16.74571904806057,21.560707606470217,22.764286534599485,29.4476816424038,16.041602963306865,prajjwal1_bert-medium_0_001
4,1.07931300699168,0.4134790528233151,19.80293846477793,19.816788081045797,18.106511739650927,18.143529812060635,16.767301729685187,21.55620715309796,22.761933234654272,29.45734226247652,16.033724022259044,prajjwal1_bert-medium_0_001
5,1.0650457091670218,0.4316939890710382,19.802474975585938,19.81574657836247,18.10185911529485,18.134302108014214,16.7491001900428,21.55890191361335,22.749584830306706,29.4389969177802,16.111923801442966,prajjwal1_bert-medium_0_001
6,1.0407761396171833,0.4863387978142076,19.80308342327403,19.81431679647477,18.095988900717924,18.118666588065835,16.739018841519382,21.551419034030268,22.75156067672757,29.431506158658497,16.215805526205315,prajjwal1_bert-medium_0_001
7,1.012480905798615,0.5446265938069217,19.80338669518087,19.810954443092555,18.09667039047825,18.122059584098217,16.759234082720535,21.581208498317253,22.79776226106237,29.181910836197204,16.553201838703536,prajjwal1_bert-medium_0_001
8,0.9480196446017488,0.6083788706739527,19.80283737877462,19.810140182411736,18.090990368785757,18.09588984366106,16.778454264656443,21.63300727885929,22.887394736590498,28.95431098868504,16.857095464765482,prajjwal1_bert-medium_0_001
9,0.8725564557997907,0.6484517304189436,19.80304718017578,19.80871169293513,18.099078138452192,18.123744248909595,16.876244897616584,21.759791417634336,23.048257560243588,28.239271181311548,17.526220005500946,prajjwal1_bert-medium_0_001
