model,final_epoch,final_loss,final_accuracy,min_loss,max_accuracy,final_emb,final_L1,final_L2,final_L3,final_L4,final_L5,final_L6,final_L7,final_L8,final_L9,final_L10,final_L11,final_L12
bert_uncased_L-12_H-768_A-12,200,0.0020416333874756,1.0,0.0,1.0,14.782809222186051,12.48971755416305,12.48535876803928,13.995088365342882,17.026700337727863,17.519935184054905,18.815671143708407,22.231078253852,23.96115960015191,23.84536178023727,24.088129961932147,25.48356656674985,20.53872624150029
bert_uncased_L-2_H-128_A-2,200,0.5121977616239477,0.9814814814814816,0.0,1.0,12.578763043438949,9.274106838085034,11.903718453866464,,,,,,,,,,
bert_uncased_L-4_H-256_A-4,200,0.0525420651667647,1.0,0.0,1.0,16.686124872278285,16.97927799931279,14.815602761727792,14.536581816496671,13.625201755099829,,,,,,,,
bert_uncased_L-4_H-512_A-8,200,0.0074016237114038,1.0,0.0,1.0,18.055797718189385,15.755428596779153,15.743858337402344,20.77089521620009,17.951218216507524,,,,,,,,
bert_uncased_L-8_H-512_A-8,200,0.0055226721559409,1.0,0.0,1.0,19.801437377929688,19.835945694534868,18.16407888906973,18.23132719816985,17.236644744873047,22.32633915653935,23.944943180790656,25.644824840404368,18.889561405888312,,,,
