epoch,loss,accuracy,emb,L1,L2,L3,L4,model
0,0.0,0.0,18.058996204035747,15.79521084700343,16.483634629101918,20.321805248712145,18.312972814007534,bert_uncased_L-4_H-512_A-8
1,1.1063244994220838,0.3679417122040073,18.05899810791016,15.795269311234382,16.487709601285896,20.328993778194015,18.313879850349355,bert_uncased_L-4_H-512_A-8
2,1.0981625101388262,0.3333333333333333,18.05913925865743,15.794900056877204,16.496240334432635,20.35073677438204,18.31245862894805,bert_uncased_L-4_H-512_A-8
3,1.0983523225958014,0.3588342440801457,18.05909156451894,15.794250474384356,16.51676171030069,20.391224067284977,18.317141076037576,bert_uncased_L-4_H-512_A-8
4,1.0881641295438256,0.3679417122040073,18.058923717839253,15.796229322534224,16.56479618371293,20.43780072877533,18.329569165172472,bert_uncased_L-4_H-512_A-8
5,1.0766104518390092,0.4025500910746812,18.05951118121816,15.795721071448265,16.568187581602558,20.41374256571785,18.33549965057651,bert_uncased_L-4_H-512_A-8
6,1.060041921386302,0.4717668488160291,18.05986403724101,15.796241593491184,16.539176176588825,20.396767023916887,18.31878189614996,bert_uncased_L-4_H-512_A-8
7,1.0437444993489862,0.5045537340619308,18.06016919912536,15.798966746512658,16.569829013178257,20.51518066072725,18.344767280397956,bert_uncased_L-4_H-512_A-8
8,1.02963698713723,0.5136612021857924,18.06053924560547,15.797182024068086,16.524674531974863,20.54923972319167,18.32682857270232,bert_uncased_L-4_H-512_A-8
9,0.9773655015914168,0.6156648451730419,18.062295910222065,15.8007344313658,16.425388065192216,20.49890824614978,18.286179089155358,bert_uncased_L-4_H-512_A-8
10,0.9285096480546752,0.6156648451730419,18.06402587890625,15.818558753731038,16.3674047084454,20.586789629715604,18.266734416801857,bert_uncased_L-4_H-512_A-8
11,0.8121295340617063,0.7085610200364298,18.06472587932872,15.824872515457791,16.451070594440175,20.745785308448777,18.21808179566986,bert_uncased_L-4_H-512_A-8
12,0.7020542602070042,0.75591985428051,18.065715810640263,15.845088632163238,16.41201045691207,20.868355895217867,18.15043398330772,bert_uncased_L-4_H-512_A-8
13,0.5732347377336742,0.819672131147541,18.06643102816111,15.84893247121453,16.485365153661842,21.073492776283583,18.10135603385328,bert_uncased_L-4_H-512_A-8
14,0.4407575644539137,0.8834244080145719,18.0667724609375,15.867683160500448,16.3459605232614,21.11922818932594,18.022234737764503,bert_uncased_L-4_H-512_A-8
15,0.3106876885304686,0.9289617486338798,18.066352830341387,15.864697260066242,16.327162278805925,21.005913684059795,18.065921234519973,bert_uncased_L-4_H-512_A-8
16,0.2447877380257312,0.941712204007286,18.0657215083666,15.88184951476495,16.393650450993107,21.205689880148743,18.024703757141893,bert_uncased_L-4_H-512_A-8
17,0.1679156219454411,0.970856102003643,18.066017150878903,15.88011940711183,16.317792548507942,21.09470990012469,18.013043290713227,bert_uncased_L-4_H-512_A-8
18,0.1052912890042546,0.9817850637522768,18.06459045410156,15.891755262142103,16.355522100174145,21.277771774319785,18.016338508202946,bert_uncased_L-4_H-512_A-8
19,0.1133428416901924,0.9744990892531876,18.06664658287618,15.895212711966536,16.563390012647286,21.322479970685336,18.016556355905447,bert_uncased_L-4_H-512_A-8
20,0.1105040372680119,0.9744990892531876,18.066331859929097,15.883821178220876,16.47890561352228,21.23756813091007,18.014574047429097,bert_uncased_L-4_H-512_A-8
21,0.0468773416808394,0.9981785063752276,18.067480090754497,15.885265760300156,16.51809264358493,21.35737537599435,18.01597007376249,bert_uncased_L-4_H-512_A-8
22,0.0642580018906374,0.9799635701275046,18.07202338824941,15.87651003644766,16.594455044994806,21.266204180830385,18.03731618856906,bert_uncased_L-4_H-512_A-8
