epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,model
0,0.0,0.0,19.80352020263672,19.81544922653226,18.09921812186041,18.13585457167773,16.76372671214175,21.617081855815616,22.80044914203915,29.28989420128216,16.263659062064193,bert_uncased_L-8_H-512_A-8
1,1.1176149447758992,0.3224043715846995,19.80342102050781,19.81517983525177,18.097805586017547,18.13088419485179,16.747661847668702,21.609517457055265,22.79272886182441,29.32273950906833,16.23535810793684,bert_uncased_L-8_H-512_A-8
2,1.0988896705196638,0.360655737704918,19.803207397460938,19.81436457399462,18.09300522378668,18.11539346663678,16.717665569812656,21.599997765379527,22.78499557411736,29.34143255404001,16.221754522271496,bert_uncased_L-8_H-512_A-8
3,1.075803071314737,0.4153005464480874,19.80297470787618,19.814413046359142,18.09292057780837,18.110344794712866,16.71352528222923,21.60569235101641,22.792677610081185,29.29178668023893,16.279792521603554,bert_uncased_L-8_H-512_A-8
4,1.0748822801968656,0.4571948998178506,19.80306816448497,19.814613258903798,18.0985554207001,18.117878300678967,16.75641771049013,21.629545812832635,22.80949928547732,29.22051323784722,16.34367359487954,bert_uncased_L-8_H-512_A-8
5,1.0637916519776502,0.453551912568306,19.803052905695903,19.81448104385904,18.10749280474442,18.14107343885634,16.828138007492317,21.68425513095543,22.85332426477651,29.00826245361773,16.588557314568746,bert_uncased_L-8_H-512_A-8
6,1.0453215643139269,0.48816029143898,19.802911754948628,19.81602105590598,18.11425148941346,18.159200796881223,16.88486056857639,21.75270219535341,22.9008053638896,28.78307407844696,16.841478385994776,bert_uncased_L-8_H-512_A-8
7,0.9931653609909864,0.5628415300546448,19.80366516113281,19.817646436569685,18.12383288329633,18.18803391864825,16.9501636692735,21.834617114457927,23.0091351785295,28.40557149807178,17.246967683941506,bert_uncased_L-8_H-512_A-8
8,0.9536866654246664,0.6156648451730419,19.80357552616974,19.817847524618625,18.12302191617928,18.174865222368084,17.014897414243936,21.90267855395819,23.11885978267927,27.870569225651757,17.808530741484873,bert_uncased_L-8_H-512_A-8
9,0.8418947177072258,0.697632058287796,19.80340195396993,19.813061323322238,18.125280731145583,18.205011336529843,17.103130097380536,22.02030953162355,23.26239962829701,27.10628708247061,18.494502972601108,bert_uncased_L-8_H-512_A-8
10,0.730644166035296,0.75591985428051,19.80347442626953,19.81357101968512,18.131959216842237,18.229956705062115,17.196826288608907,22.139739350977276,23.46277793509061,26.31802512691755,18.825751646837467,bert_uncased_L-8_H-512_A-8
