model,bert-medium,bert-medium,bert_small,bert_small
learning_rate,001,01,001,01
epoch,,,,
0,18.135854668955982,18.13232487154728,20.32180526260904,20.33077664586249
1,18.13316017248157,18.10880298013789,20.324026444787755,20.33629729269025
2,18.13311875973894,18.08455503232141,20.329562939364184,20.37647655937769
3,18.13253802245649,18.051417520392164,20.33182276880372,20.416695406413915
4,18.143529812060635,18.05317847020809,20.3179882445622,20.771086228386466
5,18.13430210801421,18.04572216001296,20.28889790519339,20.938098065084432
6,18.118666588065835,18.02983931758984,20.214583433390967,21.0149707096252
7,18.122059584098217,18.06106931004784,20.23052271163746,20.94978838784652
8,18.09588984366106,18.07249937781475,20.264885018214937,20.9673551250064
9,18.123744248909595,18.06497906848596,20.34631874348513,21.071079775693747
10,18.12999840686013,18.1199300096874,20.4461000786453,21.04158322389673
11,18.1571981294559,18.09102331856312,20.50718215080776,21.15763539276596
12,18.12559649635968,18.093499641133725,20.588194188741603,21.207839643588468
13,18.16146800557121,18.07502398099401,20.67879183131706,21.1028320212497
14,18.17125504568409,18.10379676950796,20.870129639116577,21.06682994459879
15,18.17224924334194,18.05646956989116,20.88393507716,21.24590143731181
16,18.163944570961764,18.085979873487776,21.04099911549052,21.29414609905238
17,18.127449369169977,18.068744072600747,21.03391517402913,21.18549679850438
18,18.081963196912533,18.064095119863136,21.036092650477787,21.12527263869837
19,18.08569196968565,18.05198951247566,21.07003536814983,21.058051224074337
20,18.10222713282851,18.05208038185629,21.068762384911487,21.132070636176334
21,18.12110931452072,18.08027696566093,21.15875586004205,21.152324753599306
22,18.14114147804691,18.06127595927532,21.324265777087604,20.95954976410851
23,18.13107969634954,18.05106044722758,21.085712926201047,21.067502178565068
24,18.15614856657435,18.06740601597079,21.201790773152,21.06764958157861
25,18.145124063682903,18.059872856258195,21.269789954569383,21.11414818700363
26,18.112245611805733,18.05924696395377,21.23495811365124,21.04967036959948
27,18.12381380286156,18.032946288162474,21.18645143769477,20.845516477758803
28,18.118184157408,18.069846699977,21.240297091680365,21.02828086965531
29,18.129120957004567,18.03934596541061,21.27774721850897,21.00747782889338
30,18.14798787990772,17.995734361488484,21.22723705521047,21.09210044101095
31,18.13406640280357,17.990425939054713,21.244888639189508,21.03991119756999
32,18.11125195612673,17.96735430275962,21.15931168019446,20.97902876532579
33,18.11541239420573,17.948067782291098,20.9888402942317,20.88031179753457
34,18.144837065038352,17.965398498512933,21.158614903851284,20.647297477062427
