model,bert-medium,bert-medium,bert_small,bert_small
learning_rate,001,01,001,01
epoch,,,,
64,17.163660101551827,16.72530697083486,17.951192359021018,17.839755141798012
65,17.19274994063247,16.762612991985804,17.947341015647236,17.83336971775335
66,17.213206334626523,16.749906924997937,17.94605501101968,17.832796550634757
67,17.208268768366136,16.772241403165463,17.95201195610894,17.827254307328644
68,17.192840048089923,16.71885965605284,17.93755742196394,17.841330187450488
69,17.18200333392034,16.606912615345667,17.945137593698416,17.846329965943873
70,17.183106511017012,16.670817607308095,17.945115483740857,17.847933151325677
71,17.185616025942053,16.60064539899814,17.948538483166303,17.82565761519633
72,17.18544387122538,16.657110415975534,17.949098597458804,17.834262702757165
73,17.185834915911563,16.756134177651884,17.951884104688745,17.80401230205631
74,17.185482532383098,16.723676377690037,17.95085220475883,17.820051107470853
75,17.186010711614333,16.72704416021892,17.938356215402294,17.824538183151514
76,17.186019883564043,16.63720490063081,17.93960137705985,17.81776098768372
77,17.18627123667677,16.692020321118036,17.935873007296646,17.819211467115817
78,17.186974336106488,16.743005246645588,17.937198117782508,17.812570272932152
79,17.1875707629817,16.72215429334156,17.93453898890205,17.818727763780323
80,17.190310938545046,16.725390751114876,17.933528573569486,17.818821691585633
81,17.188589196821813,16.70346705882727,17.936488514606637,17.817162873986724
82,17.18880508506233,16.66376621753992,17.93581412615889,17.818070589986064
83,17.188116299432917,16.612943577414846,17.934284508988288,17.82076171341651
84,17.188014838213476,16.786818596870983,17.93391107166617,17.832383142454297
85,17.18788019121236,16.79481068556803,17.934118441110968,17.830053954833673
86,17.189020139489234,16.72434490321222,17.933846951399563,17.834741104545433
87,17.192430173113046,16.747206673517095,17.93395027480273,17.82689782307054
88,17.198283294510972,16.760517768297348,17.933614692618505,17.82765099695422
89,17.19742668999566,16.77216267998093,17.933522375554986,17.831068424021375
90,17.199241096204748,16.798402159500053,17.93338742282221,17.805982944246157
91,17.200714903451054,16.84164542881014,17.93272185890184,17.821235551179573
92,17.2013510198541,16.796475801966174,17.932644064092027,17.83190539485224
93,17.20134835165055,16.79046727945608,17.932745636486615,17.82315528212665
94,17.200636524971717,16.792575100743008,17.93136777339303,17.83681449285952
95,17.200770699478454,16.7881127452451,17.93149770934725,17.83670079779716
96,17.200294008237634,16.788687344350908,17.931969800716324,17.84723479991269
97,17.199761326412904,16.71900983414927,17.92616390096251,17.831938462506525
98,17.199516046242636,16.72187437387019,17.900310968006462,17.813916167296195
99,17.19956093320864,16.78055312363107,17.9283592627131,17.812775101271914
100,17.199209717019226,16.734322552600236,17.919227558406977,17.81161186930783
101,17.199134173506163,16.755775754446976,17.922348564439783,17.813161850322818
102,17.198834612069884,16.74362240952263,17.921795593150545,17.806214520607014
103,17.197944613319493,16.755430058011065,17.921649661871903,17.812797878341076
104,17.197733964207828,16.762043873599247,17.921594616276753,17.80632225715808
105,17.197671789506312,16.764163254953658,17.921655290113772,17.80779899431885
106,17.198417149389158,16.713293978713498,17.92242951384442,17.81805416310656
107,17.19850948034957,16.69717984743811,17.922374176414504,17.812537603900882
108,17.19801933691584,16.6721941123086,17.921659625944542,17.80668876671561
109,17.197671886784565,16.679010686730287,17.921166300122202,17.804746436482457
110,17.19774285821967,16.706522612586475,17.921586556078523,17.80355118828438
111,17.197078892442047,16.726878548328198,17.924733215776733,17.81600942703711
112,17.194484675951127,16.681252260623072,17.925066338210808,17.80846798791057
113,17.193832425254726,16.709401370787607,17.925493959520683,17.804781416693867
114,17.19374936352228,16.69689499448606,17.9244641302279,17.80739860874956
115,17.19384319534719,16.67387816260557,17.925543793780772,17.793518331691953
116,17.193855077191127,16.722465663752267,17.925017157104715,17.793025512806427
117,17.193708534449176,16.722386097487,17.926686146220224,17.793468084357897
118,17.193588173454575,16.709249202353956,17.92883149305111,17.80920163343323
119,17.193458821169884,16.715667335708872,17.928450759859903,17.813282183083423
120,17.193043971105133,16.70770072693949,17.927828665422396,17.79146519120482
121,17.193089803059895,16.693024827508182,17.929310713526547,17.79559262558864
122,17.19294328811173,16.692349946240615,17.92963904153237,17.794118756569084
123,17.193109925761682,16.705325800452794,17.929727745403575,17.79722456877379
124,17.193354663953105,16.67813459945337,17.930205701261706,17.791806695848873
125,17.19372404338232,16.654185666123006,17.93045975037177,17.789046455076345
126,17.19371573304001,16.673123448398105,17.93028049434252,17.78233043365784
127,17.193399662094254,16.706959133957245,17.93002395768852,17.790146121253045
128,17.19347512222596,16.700007484667985,17.929701619243797,17.793266404723287
129,17.193511935096836,16.72167149558867,17.929650117356488,17.78816843718621
130,17.193555571342426,16.74406986455329,17.93032925854181,17.787295791678755
131,17.193456569873135,16.703773295751322,17.930631432594062,17.79201555208671
132,17.193472412331726,16.733153276011176,17.929859543541525,17.78326240732612
133,17.193560740986808,16.758955453580658,17.929876289298193,17.78980871256466
134,17.193477776532617,16.774385128302498,17.928982149273537,17.79156640117207
135,17.19353953432733,16.76103544070294,17.929127427398182,17.795623109832437
136,17.19399168365423,16.780716620180833,17.92927145480241,17.788070550929344
137,17.19503504852128,16.75687345667613,17.93051339238068,17.79966744728998
138,17.194978001773467,16.715934377017838,17.93060882234834,17.795164940592894
139,17.195029753804857,16.676523224938094,17.93045114819469,17.795876581291672
140,17.19475920908221,16.674824132525202,17.93052924873616,17.79415551461137
141,17.195719901329834,16.686140612177393,17.93267480402045,17.790868156706726
142,17.193910345136576,16.67898307896129,17.932916679451807,17.79015418260492
143,17.193618023981813,16.668582489163676,17.931327930999366,17.78916494055956
144,17.187877036617536,16.671340914604205,17.931290270417982,17.78197128404235
145,17.16852625167652,16.72504693529069,17.93176583601043,17.789147460870833
146,17.165177684012658,16.71375640641356,17.932108880826465,17.78734006522328
147,17.165098374441456,16.705554919795826,17.93220841037771,17.785241403932154
148,17.16510779653525,16.71410157783379,17.93228969330779,17.785837403677125
149,17.165139620421364,16.679158377252424,17.93277480606607,17.791018520919824
150,17.165349741451077,16.678610477555154,17.93296171928364,17.783733617232922
151,17.156923526840348,16.671233639178023,17.93293694112253,17.782560341913324
152,17.16015473523861,16.67527174172713,17.93296819523601,17.784019377156508
153,17.164838669295737,16.679900070237654,17.93295402040464,17.7826845011771
154,17.165366501104636,16.679469324039367,17.933019266319622,17.78923068974549
155,17.152091841011533,16.67679243020058,17.933081593886968,17.7838332507642
156,17.167536167499147,16.694007002675814,17.93308911210635,17.77611718003311
157,17.16735018537344,16.695595716792074,17.93344681814503,17.783483947276114
158,17.164561120538764,16.692130313292022,17.93376836446682,17.786032355333013
159,17.164873342045016,16.687136019684676,17.93388415338346,17.784092650178263
160,17.166427723479835,16.660357262948033,17.934540350797615,17.78328210235879
161,17.166785915909788,16.647463759806516,17.93543583882094,17.782128170672475
162,17.167172722043453,16.620999619410856,17.935348538535976,17.779550821473425
163,17.167218401132384,16.6320460951656,17.935971119364755,17.779089675756094
164,17.167388276758523,16.660643881230587,17.936250919418473,17.784023099489904
165,17.16999561191691,16.662110922268432,17.936570547968962,17.781619959660574
166,17.170423441680185,16.66249483373459,17.93696808250441,17.78225134379569
167,17.170095474993595,16.65956375869315,17.937016026786985,17.7804466398952
168,17.168917810547764,16.659865398257672,17.93700814724837,17.779303680758822
169,17.165533236032843,16.64502606755633,17.937072295308763,17.78521086135328
170,17.16483462529973,16.644760274895766,17.93750615632382,17.779606589805706
171,17.164574878463327,16.646043097931635,17.938116619061468,17.774757150524675
172,17.164489273599372,16.644255357037775,17.938153112303798,17.774098550298923
173,17.164014472336067,16.641377943321242,17.938143815282046,17.773639061575526
174,17.16392339209607,16.65901067134094,17.938209297444217,17.774457399905454
175,17.163934495713974,16.65885974044425,17.938224028151325,17.77789531369559
176,17.163976992414298,16.6589667630851,17.938275224306977,17.777831422898497
177,17.164018974929558,16.662567427569392,17.93831319062002,17.780894743556342
178,17.164031426546135,16.659002465540304,17.938400449214303,17.78184954846207
179,17.164014194398195,16.651291890806693,17.93844605881877,17.78069107497344
180,17.16399740695085,16.651483310412647,17.938508275210967,17.78305044127318
181,17.163984705190188,16.650910591918567,17.938557039410256,17.78370508165844
182,17.16412218715758,16.650839830082926,17.938573326569436,17.78403854439564
183,17.164165781712487,16.649423683620682,17.938599814048448,17.784507191725904
184,17.164165920681423,16.645128953962537,17.93864149083205,17.785050410727823
185,17.16417598203232,16.644657673220284,17.93869246463741,17.785725850345397
186,17.16420612439432,16.644655510655696,17.93901071739544,17.78822131932118
187,17.16422168891504,16.644833335411175,17.939074267889417,17.788594054064635
188,17.164328847860812,16.645521318458933,17.939131384121698,17.78810309634581
189,17.164269674888292,16.64598244195338,17.93920036830103,17.786733013759346
190,17.164276123046875,16.64636873960191,17.939257804161866,17.78432504461911
191,17.164300178569523,16.64735758719105,17.93940654261299,17.785714505562122
192,17.16488315325183,16.65015180120046,17.939491869539076,17.787267353329398
193,17.164915741467084,16.648673727888674,17.939508379048554,17.787077350432423
194,17.164904346014417,16.65089130939822,17.939518704440424,17.785489479396897
195,17.16489956548305,16.651169941331137,17.93954541426973,17.78543754173458
196,17.164922676016943,16.65131415119376,17.939559380647697,17.785806236079583
197,17.164921897790904,16.651856697953377,17.939569219648295,17.78578409097374
198,17.164928165289872,16.65181286053299,17.93956411948838,17.785791785647998
199,17.164984280945824,16.65258380994757,17.939569886699182,17.785699785678045
200,17.165044329422635,16.65216442797758,17.93956896950421,17.785700621814126
