model,bert-medium,bert-medium
learning_rate,001,01
epoch,,
0,21.61708150839328,21.61590501447421
1,21.60256261773448,21.60351293325294
2,21.57755625573664,21.63096806852409
3,21.560707606470217,21.850801771724026
4,21.55620715309796,22.032921381863048
5,21.55890191361335,22.07583402602069
6,21.551419034030268,22.09060060871596
7,21.581208498317253,22.169131400002257
8,21.63300727885929,22.12590242695249
9,21.759791417634336,22.106133358738536
10,21.843043801563034,22.159000714099104
11,21.942274333349346,22.12620276370032
12,21.931698894674444,22.12791640793672
13,21.966414321315742,22.05338678059629
14,22.039101661445883,22.07544382131102
15,22.061848805467505,22.1131695147184
16,22.10307134131482,22.1245082519798
17,22.14326535417734,22.10884648977072
18,22.094709441527208,22.130397312588624
19,22.0645531826332,22.055034372859936
20,22.04688779903892,22.095395729708017
21,22.127549802019296,22.07207938332647
22,22.056736958265738,22.04679775324845
23,22.058660399501225,21.977409300291104
24,22.14107317481536,22.065574811278807
25,22.20685537091587,22.048900052148223
26,22.18135812894894,22.091719269904416
27,22.16479355997944,22.00724173295309
28,22.14396428453901,22.087662008449765
29,22.16810040916901,22.08997197882977
30,22.17141230293093,22.030311733088205
31,22.122238854024364,22.053931817708065
32,22.081795989489947,22.07631502788661
33,22.11520820714954,22.04420926343889
34,22.14671685613136,22.08144960207256
35,22.17233671038963,21.993744181215103
36,22.168268172467343,22.0109305861824
37,22.131542574078225,22.0820922143208
38,22.10993956129841,22.029185386948
39,22.11239451701958,21.99302042487669
40,22.11576876614264,21.95247817373701
41,22.118548144842546,21.879879115167352
42,22.13038012673077,21.90501142134112
43,22.136257011816586,21.91051382317952
44,22.123596858457137,21.96355237670876
45,22.098211625451817,22.00400440432043
46,22.099107891701177,22.026332254512223
47,22.096289476627422,21.97350557814438
48,22.095919457941108,22.040910798258064
49,22.097154363691264,22.01757894863571
50,22.09736970995293,22.04842741580993
51,22.09704876119756,21.948517041542303
52,22.09871649959265,21.9659290018573
53,22.10005438132364,21.958272970419383
54,22.107206751088626,22.0040120309371
55,22.102175019477887,22.039450439364234
56,22.10931750855159,22.01506828337273
57,22.13094900996307,22.02215885625562
58,22.12725021278923,21.990901285196163
59,22.120299876061942,22.02017924574236
60,22.17916097449909,22.008920485869623
61,22.09156096133595,21.961953356729143
62,22.08294321973901,22.0031524122076
63,22.10420385475367,22.058457487596964
64,22.138381693966835,21.964691195443702
65,22.176194488025104,22.032062683994383
66,22.17388172531823,22.02878698754914
67,22.17908690405673,22.028778070616152
68,22.168975357583747,22.02053667169526
69,22.15889631594465,21.88759008991291
70,22.160702286739383,21.922065939036045
71,22.16530017123196,21.89653143751671
72,22.166891490609704,21.896385938726706
73,22.16779367693569,21.953388741210404
74,22.16738421886562,21.972811000455213
75,22.16854893140671,21.954561987362467
76,22.169251822383025,21.89113639444032
77,22.17032746973368,21.97474142338829
78,22.171300988814,22.017259296033195
79,22.17251788419018,21.92930899147299
80,22.174854827491743,21.937301255175267
81,22.17419279338232,21.9218548507871
82,22.17427516027009,21.851147579274368
83,22.1745009014081,21.834146207611177
84,22.173786837329413,21.983754920369176
85,22.174084828416724,22.01853934259725
86,22.17560154927016,21.95834976715749
87,22.177796452423262,22.00151057567141
88,22.18207329088221,22.0073905929546
89,22.17836099982479,22.002320472082545
90,22.18002404106988,22.02224351572856
91,22.18245737322476,22.041835142531813
92,22.18382621723446,22.043896527709627
93,22.184093801918795,22.024167220405428
94,22.18241145788864,22.03455916133362
95,22.18548540904005,21.954137391347867
96,22.185259501139324,21.9721156796883
97,22.18468464224282,21.89318392781553
98,22.18451491948251,21.86265467989755
99,22.18479149545694,21.94153934564179
100,22.184643952138654,21.89159139969647
101,22.184673260687045,21.93915762034093
102,22.184276587759,21.933787380783105
103,22.18398147332864,21.94635586449516
104,22.18410236240519,21.93439632397021
105,22.184220527690616,21.946046656649035
106,22.18664645280126,21.932703348406672
107,22.18702386463492,21.91904384738736
108,22.18694354059049,21.92892221325455
109,22.186835144821195,21.94686136709283
110,22.1870360939012,21.89174739602223
111,22.186826639922373,21.94038753068536
112,22.185535034846737,21.89968825957824
113,22.18518277639032,21.934506793936247
114,22.185254178629112,21.92279822062908
115,22.18542991874431,21.8837104504299
116,22.18566390074016,21.926338244413344
117,22.185675004358067,21.93925831640394
118,22.185713790587823,21.90913768763449
119,22.18541614692285,21.92336165273469
120,22.18463118089353,21.940181393973187
121,22.184845373713035,21.899179098537964
122,22.18485897877177,21.91319445462993
123,22.18514981295893,21.904709456766888
124,22.18549941710869,21.92842164552648
125,22.185795643290536,21.906837167536736
126,22.18583665302325,21.91739753849537
127,22.185478794118747,21.925519906083416
128,22.18573387159893,21.91496347413132
129,22.18594436784477,21.91208590624351
130,22.18610750347756,21.910802987371444
131,22.186132156566625,21.871265520407988
132,22.186301309554302,21.88502494663396
133,22.186514279447184,21.91170712965294
134,22.18642971685024,21.92724439508816
135,22.18658205459678,21.914783539590605
136,22.18723990574126,21.94737750611929
137,22.1887927446209,21.920972202203107
138,22.18908706692833,21.88558467446228
139,22.18918276093697,21.8553685164508
140,22.1887226347932,21.851763969906123
141,22.19345840426308,21.86211027336017
142,22.19043962377885,21.847863589525875
143,22.18959602675585,21.834358454228056
144,22.16688773844846,21.836669196853347
145,22.16638549082049,21.847569555744062
146,22.16441145099577,21.83859153760059
147,22.1645118699482,21.83449119708153
148,22.16457436427827,21.8339521573711
149,22.16462107173732,21.810718517626395
150,22.16478606955384,21.81348706142468
151,22.157630267256163,21.7959238868712
152,22.16029979101296,21.81450186395567
153,22.16222102264237,21.8196308810312
154,22.16256071830708,21.819324964950063
155,22.137567391595336,21.818659083951307
156,22.17793073810515,21.841112585118097
157,22.177647991910007,21.843404624407004
158,22.177192507328662,21.82991955915305
159,22.178203381258715,21.81150602031314
160,22.176282260804445,21.811183788466927
161,22.17644425689197,21.7944927469056
162,22.176664522653937,21.760080164949816
163,22.176547691470287,21.7730257224238
164,22.176720541031635,21.804770616371297
165,22.179636831926302,21.807090463435173
166,22.17979381123527,21.8154431781807
167,22.17947202866629,21.79782963406729
168,22.17837967724965,21.803022004423863
169,22.176100767375345,21.79911743502961
170,22.17563911257329,21.80043889671949
171,22.175554841811103,21.798794837894715
172,22.17555930271392,21.796537281580143
173,22.174465936824056,21.794088477886984
174,22.17456315949098,21.80272734423446
175,22.17466260566086,21.80202832613489
176,22.174739080265788,21.801104954112407
177,22.174839985609488,21.802822641525115
178,22.174913750320183,21.80373155200457
179,22.174964487878352,21.801228252239355
180,22.17503230471863,21.80106732798864
181,22.175089004044107,21.80023418643881
182,22.175270594751467,21.800365827870504
183,22.175354573678884,21.80008807096372
184,22.17539417982536,21.79498500605218
185,22.17545249119048,21.794511201623443
186,22.17552554715961,21.79470788110872
187,22.17558317757695,21.794918079053293
188,22.17566919934772,21.796383974223584
189,22.17573105442068,21.79686319270291
190,22.17579756495297,21.796291882584228
191,22.175852471579184,21.79695524961901
192,22.17613328610613,21.79809707399928
193,22.176173976210297,21.796570299232936
194,22.17618451005557,21.799578615470203
195,22.17619889334034,21.799481341731628
196,22.176243029874097,21.799690824377063
197,22.17626035930029,21.800689655597715
198,22.17627137953684,21.80058363576459
199,22.1763231871558,21.80221518032672
200,22.17635658139088,21.801686218695064
