epoch,loss,accuracy,emb,L1,L2,L3,L4,scenario,L5,L6,L7,L8,model,learning_rate
0,0.0,0.0,18.058996204035747,15.79521093038479,16.48363475417396,20.32180526260904,18.31297234151316,prajjwal1_bert_small_0_001,,,,,bert_small,001
1,1.104196659202784,0.3515482695810564,18.059020982196856,15.79599731389725,16.481259733384206,20.324026444787755,18.31505249801664,prajjwal1_bert_small_0_001,,,,,bert_small,001
2,1.0966974012621549,0.3715846994535519,18.05937767376231,15.797049892404692,16.48059800500644,20.329562939364184,18.32857154887882,prajjwal1_bert_small_0_001,,,,,bert_small,001
3,1.09714328048442,0.3570127504553734,18.05963515540507,15.799966836453352,16.501941437712567,20.33182276880372,18.344257597931964,prajjwal1_bert_small_0_001,,,,,bert_small,001
4,1.0814828019324547,0.4262295081967213,18.05988695321839,15.799274437631633,16.4963496473969,20.3179882445622,18.35393936907659,prajjwal1_bert_small_0_001,,,,,bert_small,001
5,1.0696757339171807,0.448087431693989,18.05995178222656,15.802938520365508,16.49000842540859,20.28889790519339,18.369301787273915,prajjwal1_bert_small_0_001,,,,,bert_small,001
6,1.054536035803498,0.4462659380692167,18.06086350182149,15.799970102223323,16.427946969676757,20.214583433390967,18.3800125816915,prajjwal1_bert_small_0_001,,,,,bert_small,001
7,1.039659102106355,0.4681238615664845,18.06130791057872,15.79365375567438,16.39948911962179,20.23052271163746,18.426682741481315,prajjwal1_bert_small_0_001,,,,,bert_small,001
8,1.01562907917252,0.5500910746812386,18.06176948199941,15.79509024976164,16.37412577422373,20.264885018214937,18.400721801868983,prajjwal1_bert_small_0_001,,,,,bert_small,001
9,0.961552320716594,0.5938069216757741,18.0623779296875,15.78807255479156,16.344326790564697,20.34631874348513,18.38005270202304,prajjwal1_bert_small_0_001,,,,,bert_small,001
10,0.9069969573741836,0.6411657559198543,18.063631054265034,15.795520191852727,16.37326944764629,20.4461000786453,18.34434373087788,prajjwal1_bert_small_0_001,,,,,bert_small,001
11,0.812283486833555,0.7231329690346083,18.064050670964253,15.81677282225673,16.366008459761712,20.50718215080776,18.316016720075208,prajjwal1_bert_small_0_001,,,,,bert_small,001
12,0.7021018033253473,0.7522768670309654,18.06415174307068,15.818207370778902,16.39333139221525,20.588194188741603,18.21753291006731,prajjwal1_bert_small_0_001,,,,,bert_small,001
13,0.5952835444001335,0.8178506375227687,18.063585277897847,15.834403811039603,16.354753087778562,20.67879183131706,18.120011293171533,prajjwal1_bert_small_0_001,,,,,bert_small,001
14,0.4656666427145021,0.8706739526411658,18.065185532978106,15.852188110351562,16.45402476826652,20.870129639116577,18.1049984235364,prajjwal1_bert_small_0_001,,,,,bert_small,001
15,0.3492108557122218,0.9089253187613844,18.066127784048057,15.855696464496884,16.441403025920707,20.88393507716,18.018884544164106,prajjwal1_bert_small_0_001,,,,,bert_small,001
16,0.2555453281693554,0.9380692167577414,18.066534045832626,15.872522364548647,16.576827363672585,21.04099911549052,17.992363587537533,prajjwal1_bert_small_0_001,,,,,bert_small,001
17,0.185827299219663,0.970856102003643,18.068189624445903,15.876767323533912,16.567824497466095,21.03391517402913,17.96352590758944,prajjwal1_bert_small_0_001,,,,,bert_small,001
18,0.1347093416042015,0.9690346083788708,18.0684814453125,15.886877007823172,16.57162581202328,21.036092650477787,17.949791107455674,prajjwal1_bert_small_0_001,,,,,bert_small,001
19,0.1021693498439041,0.9854280510018216,18.067611694335938,15.895301527012892,16.574333538340305,21.07003536814983,17.949830546839426,prajjwal1_bert_small_0_001,,,,,bert_small,001
20,0.0629967950379479,0.994535519125683,18.06842613567637,15.89523305701862,16.593838995705973,21.068762384911487,17.933808568179717,prajjwal1_bert_small_0_001,,,,,bert_small,001
21,0.0745500249411564,0.9836065573770492,18.068851491792607,15.9040371281636,16.573881986579824,21.15875586004205,17.92940911742942,prajjwal1_bert_small_0_001,,,,,bert_small,001
22,0.0459361719968431,0.994535519125683,18.06912421832753,15.899306611719462,16.64735907327065,21.324265777087604,17.918703659418938,prajjwal1_bert_small_0_001,,,,,bert_small,001
23,0.0351514362056615,0.9963570127504554,18.06869506835937,15.899033204236751,16.578248321032916,21.085712926201047,17.943599763463755,prajjwal1_bert_small_0_001,,,,,bert_small,001
