epoch,loss,accuracy,emb,L1,L2,L3,L4,scenario,L5,L6,L7,L8,model,learning_rate
0,0.0,0.0,12.578866004770232,9.403916324745344,12.464791360935314,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
1,1.1382174175249604,0.3327871836883306,12.579520225698518,9.403136465342431,12.441056210378816,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
2,1.1254546264036962,0.3340615328600036,12.581313133413362,9.39873352411903,12.347184362295176,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
3,1.1090762210677887,0.3356999817950118,12.584284783277749,9.401276972305572,12.169479466647848,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
4,1.0988791652353391,0.3520844711450938,12.58453273790555,9.398899529771512,12.05580162702526,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
5,1.097084836970256,0.3522665210267613,12.58245849609375,9.405344943107856,12.055517640071294,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
6,1.0946226322909165,0.361004915346805,12.581304550518132,9.397887548158105,12.085113422609778,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
7,1.0913308211499697,0.3681048607318405,12.57949542981906,9.373762323451391,12.077803855686268,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
8,1.085255653615556,0.3977789914436556,12.57754230481906,9.358181607412895,12.040517058026133,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
9,1.0777105903356383,0.4216275259421081,12.574440955942109,9.334560815827476,11.958218218784134,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
10,1.0667043962744271,0.4412889131622064,12.57034587877469,9.282900513184217,11.928931926044635,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
11,1.0487649614815715,0.4753322410340433,12.570333481182194,9.233861271462196,11.906377645479012,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
12,1.0226539803315182,0.5073730202075368,12.569933891470004,9.21167911242727,11.87722212192293,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
13,0.9947460868439778,0.5295831057709812,12.568572998046877,9.192810701668511,11.862810967898684,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
14,0.9614235020803664,0.5568905880211178,12.56496810913086,9.185910556000827,11.805598666102384,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
15,0.9150643670426548,0.5845621700345894,12.55652523058133,9.176360560357624,11.761987027456998,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
16,0.8821952050769132,0.6062261059530312,12.554710388183594,9.171201611832585,11.787091723778373,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
17,0.841166862075541,0.6313489896231568,12.54607200657282,9.167415614035228,11.706702482541925,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
18,0.8088716642682547,0.6499180775532496,12.544897079815009,9.15409276473724,11.74232063175398,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
19,0.7769412396168114,0.6701256144183506,12.53668403590765,9.15106614309214,11.76160276875825,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
20,0.7464180470880167,0.6894229018751138,12.532980919057891,9.15375454630245,11.736271608034247,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
21,0.7128924145608266,0.7048971418168578,12.543545724871205,9.118091933262408,11.733835824174394,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
22,0.703667322268322,0.712543236846896,12.54568576864829,9.091479378711888,11.75030772169062,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
23,0.6724296880727602,0.724194429273621,12.54639625514593,9.086877069728482,11.727666840621865,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
24,0.6419753320833904,0.7420353176770436,12.547819137920476,9.089512846367011,11.686688652156633,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
25,0.6235460260841943,0.7533224103404332,12.550557136362029,9.057867671370008,11.70453532753845,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
26,0.5970959583744637,0.7687966502821774,12.547718048095703,9.0371942567018,11.705088155855144,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
27,0.5690025976071825,0.7795375933005644,12.547097205942109,9.040208738400986,11.708239338859364,,,prajjwal1_bert_tiny_0_01,,,,,bert_tiny,01
