model,bert-medium,bert-medium
learning_rate,001,01
epoch,,
0,29.28989417348837,29.281211918307072
1,29.33824885912064,29.33134050714759
2,29.39964505666375,29.239838490954043
3,29.4476816424038,28.24786393064717
4,29.45734226247652,26.87064251707873
5,29.4389969177802,26.48728270351008
6,29.431506158658497,26.470200148866667
7,29.181910836197204,26.14511421185557
8,28.95431098868504,26.479382048099392
9,28.239271181311548,26.26745759917808
10,27.883987148819944,26.16831971048202
11,27.0004630722852,26.11200033396553
12,27.051468673733847,26.224003309676625
13,27.008059642353995,26.22509518395394
14,26.51874362966402,26.249472503689887
15,26.42105736237406,26.126755313536474
16,26.373251409478527,26.321377101240536
17,26.27622849650288,26.276702847525048
18,26.17176991169136,26.28843948694823
19,26.21680190567545,26.423140207231967
20,26.35661246433501,26.49069424429032
21,26.0178227103256,26.516521304547407
22,26.320560503961392,26.480558402677627
23,26.447193249978653,26.50034095184976
24,26.16559521617785,26.4047095762149
25,26.120592933752064,26.435609449091103
26,26.079055674957665,26.44081929358068
27,26.01819172843558,26.528072905110765
28,26.12989540308551,26.36425309569245
29,26.077386713635946,26.434493001857657
30,25.972986606952272,26.34930010187416
31,26.059291485228822,26.368269957329392
32,26.211388287431337,26.31747733754537
33,26.19530955385858,26.28064742366972
34,26.180952784359345,26.196278084394343
35,26.127693106785063,26.4232534022794
36,26.069141186434496,26.4939939650642
37,26.112921959715464,26.383954145208246
38,26.10258189272577,26.44688966377129
39,26.08668668152856,26.52812269548673
40,26.0616837798572,26.668587560148463
41,26.048352489923083,26.636450033641005
42,26.0799663105949,26.717634641687965
43,26.041284418714067,26.74681843831069
44,26.09675100635744,26.600104487009567
45,26.16238183749396,26.51225809666404
46,26.126519152809795,26.42100412954556
47,26.12908538095721,26.54853845523742
48,26.100829744599555,26.49250747900115
49,26.09709603842925,26.61189673364911
50,26.09588789809597,26.471111592755125
51,26.093141455033656,26.608269136415984
52,26.083016567542906,26.628632186259075
53,26.07160924692623,26.567843540149287
54,26.041765362404306,26.48811475891636
55,26.06071880736637,26.305345516875
56,26.129097638017274,26.435886346249987
57,26.05145335935721,26.40232327716632
58,26.08843724540891,26.439812930190627
59,26.14372206168531,26.41422334924848
60,26.06807359928208,26.416356657407725
61,26.2536432929812,26.49470690857967
62,26.183317062850424,26.39835747260985
63,26.26138252855868,26.273325291093137
64,26.17911344712332,26.43579629356041
65,26.291161987082337,26.416278221731776
66,26.28919716089801,26.35132732075376
67,26.26183595639977,26.36443567892339
68,26.259241184033115,26.30905744996028
69,26.280062371481527,26.44258156843618
70,26.27192448961713,26.413097382286264
71,26.249269912803108,26.38512942475437
72,26.239269319127818,26.426140796849577
73,26.23241904003373,26.411586401047177
74,26.225519565936647,26.347409850974216
75,26.217947426606614,26.39637270499812
76,26.21251829942936,26.482496693901258
77,26.20855585039205,26.40435634622065
78,26.201853017337985,26.295434612535985
79,26.195374243897817,26.428942022179505
80,26.17740121087524,26.392299905579403
81,26.17608762091409,26.42170276430034
82,26.17185368216537,26.434046238514323
83,26.166164405141807,26.440075946379377
84,26.16279123997645,26.28843622851758
85,26.159482611984505,26.23016525204664
86,26.15305185231137,26.277900011058108
87,26.14329100784274,26.16558922337592
88,26.151436699761284,26.13492297969966
89,26.15706541412298,26.17249316568477
90,26.14563396849919,26.15204495774274
91,26.135882268186474,26.19981681786229
92,26.128867116347905,26.178856839079817
93,26.12561713324653,26.11575065153057
94,26.123052211407103,26.090846382723075
95,26.110546313565504,26.11820678599823
96,26.107895842449697,26.173924955669783
97,26.105393901331613,26.210225650961664
98,26.10334791728925,26.18336436259341
99,26.100717096380848,26.147382468489724
100,26.098055730100537,26.160520752553143
101,26.095541059428008,26.23448420048368
102,26.09340091003529,26.214923832947367
103,26.09251406587973,26.17988376697296
104,26.090586538957552,26.13041160329322
105,26.08833332443932,26.07063539853279
106,26.081608589881103,26.079844356907014
107,26.079088082513305,26.03526321430578
108,26.078315165090647,25.99475250716377
109,26.07705966414433,26.02488567380768
110,26.075044586793105,26.18258213089742
111,26.07415613059789,26.154300572332648
112,26.07561321988132,26.12915524076985
113,26.07155774503892,26.09953866177692
114,26.069243439776866,26.055167436556328
115,26.0674922644332,26.09359405089788
116,26.06586849580914,26.16127032494037
117,26.06471875022235,26.113120400751523
118,26.06313361496222,26.13076382214616
119,26.06124405435309,26.0613683995362
120,26.06025834769716,25.99183455612541
121,26.05827509423205,25.98266240162817
122,26.0568518577812,25.974373631848028
123,26.054884418980887,25.96361268545443
124,26.052718588128982,25.97318904369055
125,26.05058958404485,25.95783114889032
126,26.049344811500312,25.96216348106041
127,26.04832741992721,25.908470302424146
128,26.046106890902493,25.911233321057413
129,26.04463943453652,25.911274338949145
130,26.043040485764244,25.963764826109472
131,26.041772533201343,26.002731020455368
132,26.040318890347507,25.960479744661708
133,26.038862134589525,25.92847322762262
134,26.03775808198856,25.91432376058076
135,26.036233148071062,25.88256498844099
136,26.034234191116305,25.867806024028805
137,26.03154164020698,25.84666509817537
138,26.03031838005358,25.874800688491675
139,26.028808649337574,25.95571472456866
140,26.027358508500896,25.92449332542288
141,26.052145007746685,25.962332730559776
142,26.05107946343761,26.00395013186616
143,26.04931162571864,25.98498528489384
144,25.99286691912319,25.967452147348578
145,26.00614234354544,25.98827554149617
146,26.01242793626907,25.97037870975524
147,26.011576779336007,25.950747365099083
148,26.01079910917577,25.96037428317859
149,26.009886694736167,25.95461593897382
150,26.00871121210261,25.947897966108144
151,26.03284382081857,25.928680412977226
152,26.02308482463677,25.996049587569903
153,26.01131004236218,25.977366932359047
154,26.009784052280786,25.96485735596192
155,26.06909207481287,25.930990972263704
156,26.008588057832423,25.89513403466984
157,26.017093846055328,25.89266202750589
158,26.01688767174337,25.921234641985752
159,26.0136094501544,25.925573274344018
160,26.00499509939948,25.91547228655007
161,26.00371861414397,25.904762675023004
162,26.002370754443447,25.90906883696704
163,26.001953792050887,25.8766473019772
164,26.001051466755964,25.907036929058503
165,25.97701300949347,25.889667599183408
166,25.97295892434042,25.852107696838768
167,25.97330845900572,25.916899404173314
168,25.976256990693305,25.890046968847248
169,25.98121212262708,25.88715339075905
170,25.98147660830416,25.90141784456852
171,25.98156090686013,25.90329070883806
172,25.981229299187444,25.90512714424182
173,25.98350966823557,25.896798251041098
174,25.983521480595044,25.888475960815363
175,25.983303243779527,25.89064556033629
176,25.983097486374373,25.893944604701083
177,25.98288569771744,25.91606290141199
178,25.98267980134335,25.91456137601088
179,25.98254594646516,25.89750186927805
180,25.982429685054147,25.896219817098537
181,25.982356642981912,25.89335707604245
182,25.981882786707367,25.889008140598687
183,25.98171580163508,25.88706549924513
184,25.98162491595159,25.88566022949664
185,25.981470493671026,25.884922918586724
186,25.9812836916286,25.883328309849965
187,25.98111901344063,25.88203844632604
188,25.98084285437301,25.880078168334627
189,25.980914089849087,25.8782830341644
190,25.98079365937002,25.875038240030992
191,25.98070207884186,25.87387210520243
192,25.979760202988032,25.87271692070092
193,25.979634602864586,25.871979429230063
194,25.979621678753627,25.869309682826973
195,25.97959724801485,25.86761684337861
196,25.97949996976036,25.866389046986203
197,25.979463254167733,25.865266695409748
198,25.97943626640056,25.86438418294093
199,25.979285512899875,25.862911783409707
200,25.97920799602793,25.86225893057784
