model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3078324225865209,0.3630074640451484,0.3515482695810564,0.3453486255233934,0.3551912568306011,0.3327871836883306
2,0.3132969034608379,0.4137993810304023,0.3715846994535519,0.3803022028035682,0.366120218579235,0.3340615328600036
3,0.3533697632058288,0.5122883670125614,0.3570127504553734,0.4505734571272529,0.3806921675774135,0.3356999817950118
4,0.4134790528233151,0.637720735481522,0.4262295081967213,0.551247041689423,0.3497267759562841,0.3520844711450938
5,0.4316939890710382,0.7180047332969234,0.448087431693989,0.642818132168214,0.3224043715846995,0.3522665210267613
6,0.4863387978142076,0.7636992535954852,0.4462659380692167,0.7003458947751684,0.3770491803278688,0.361004915346805
7,0.5446265938069217,0.8026579282723466,0.4681238615664845,0.7285636264336428,0.3752276867030965,0.3681048607318405
8,0.6083788706739527,0.8301474604041508,0.5500910746812386,0.7684325505188422,0.3570127504553734,0.3977789914436556
9,0.6484517304189436,0.8638266885126524,0.5938069216757741,0.7995630802839978,0.3642987249544626,0.4216275259421081
10,0.7468123861566485,0.8942290187511378,0.6411657559198543,0.8257782632441288,0.3715846994535519,0.4412889131622064
11,0.7887067395264117,0.9186237028945932,0.7231329690346083,0.8543600946659384,0.3861566484517304,0.4753322410340433
12,0.819672131147541,0.9339158929546696,0.7522768670309654,0.8847624249044238,0.3679417122040073,0.5073730202075368
13,0.9052823315118396,0.9462952849080648,0.8178506375227687,0.9022392135445112,0.366120218579235,0.5295831057709812
14,0.941712204007286,0.9555798288731112,0.8706739526411658,0.9206262515929364,0.3989071038251366,0.5568905880211178
15,0.9471766848816028,0.9628618241398144,0.9089253187613844,0.9364645912980156,0.4007285974499089,0.5845621700345894
16,0.9854280510018216,0.9706899690515202,0.9380692167577414,0.9493901328964136,0.4116575591985428,0.6062261059530312
17,0.9690346083788708,0.9748771163298744,0.970856102003643,0.9601310759148006,0.418943533697632,0.6313489896231568
18,0.9817850637522768,0.9695976697615146,0.9690346083788708,0.9637720735481522,0.4353369763205829,0.6499180775532496
19,0.9908925318761383,0.975059166211542,0.9854280510018216,0.9663207718914982,0.4608378870673952,0.6701256144183506
20,0.9872495446265938,0.9779719643182232,0.994535519125683,0.9736027671582014,0.4845173041894353,0.6894229018751138
21,0.9927140255009108,0.9765155652648826,0.9836065573770492,0.9736027671582014,0.5191256830601093,0.7048971418168578
22,0.9908925318761383,0.9872565082832696,0.994535519125683,0.9766976151465502,0.5227686703096539,0.712543236846896
