model,bert-medium,bert-medium
learning_rate,001,01
epoch,,
0,22.80044947556459,22.79899448830205
1,22.79085329538703,22.77737690099011
2,22.778352775643214,22.80909394966152
3,22.764286534599485,23.080532534405027
4,22.761933234654272,23.446873567457214
5,22.749584830306706,23.589803066840485
6,22.75156067672757,23.5838225229438
7,22.79776226106237,23.68595069678303
8,22.887394736590498,23.63348184776897
9,23.048257560243588,23.697255188577188
10,23.156938646660475,23.74697379572848
11,23.363207040588712,23.75304385896548
12,23.36489456816015,23.69770165330049
13,23.37802471445775,23.6327533510112
14,23.47500275436429,23.643216371840083
15,23.50103306726897,23.70992557533274
16,23.53420431279528,23.665103872769
17,23.587535517680408,23.7009046628526
18,23.616044424922087,23.657982923978885
19,23.613642235705544,23.55845433750288
20,23.54139100788721,23.629968542838256
21,23.6871451289276,23.601686410645243
22,23.562344521555527,23.613107882322087
23,23.554805373450662,23.612311480758446
24,23.690952738777536,23.66729289370332
25,23.72455555233148,23.65783615570652
26,23.722311620938104,23.683273932114773
27,23.70885266024341,23.59069557683012
28,23.63845334634972,23.642397158484023
29,23.661254993987647,23.69068818272039
30,23.69284027044021,23.69293669570931
31,23.63648214149128,23.69472171291072
32,23.547474178460128,23.70964217797972
33,23.579682230297983,23.67802341696605
34,23.685966199864456,23.745417482579924
35,23.66237198459646,23.60635821823212
36,23.700389674452484,23.59298923561184
37,23.65752534571024,23.653879109744967
38,23.679791282000654,23.600221648842133
39,23.68569701703737,23.51114759544152
40,23.697512364344085,23.471793146444195
41,23.70024292325713,23.48381066925643
42,23.67481536031421,23.478658879278527
43,23.651416535368817,23.473401255584168
44,23.689187722127947,23.54129068182614
45,23.62380828579484,23.574801799358184
46,23.628016390218544,23.612740743579096
47,23.619968685296065,23.579666301589096
48,23.63329299898964,23.60454172509064
49,23.636190223346425,23.540875841658472
50,23.63907845641312,23.61630615145484
51,23.625775210410087,23.54598079551532
52,23.62739422629657,23.55623655737629
53,23.62911077058164,23.543965728387533
54,23.6395252971267,23.61958353267262
55,23.63366374031442,23.645757586626587
56,23.681770102356737,23.58034796361473
57,23.64291534701766,23.608868418203425
58,23.6478951320405,23.614259415325648
59,23.6264691239932,23.613897032280253
60,23.69019833201702,23.575432895984715
61,23.65586174858941,23.538133162521564
62,23.59880563426756,23.579253411479662
63,23.6212091914943,23.658656674657127
64,23.709489777222792,23.58196981066501
65,23.69875683115697,23.676880609223083
66,23.656770799980787,23.66580266169505
67,23.70438334980949,23.63749262311301
68,23.70713211365302,23.6587663001535
69,23.683005536188844,23.544985033830788
70,23.6860924670388,23.548891024100808
71,23.69938203849862,23.56743114727693
72,23.705620576340863,23.53133611368304
73,23.70850248632101,23.582122194382872
74,23.707889021854367,23.600610703517457
75,23.71155734314076,23.57873617380928
76,23.7149818573276,23.477983111873385
77,23.719397942659416,23.52915559578046
78,23.72259577071949,23.60282865170462
79,23.72585228536081,23.51809817942118
80,23.739923140173183,23.505041338067965
81,23.73916746879536,23.52374778982288
82,23.74003193895239,23.482678631279565
83,23.74263352079687,23.47570087148825
84,23.741264176499,23.54054931662848
85,23.74224881309412,23.57166437648716
86,23.745868814881817,23.52372945455304
87,23.757046906240216,23.591963667481537
88,23.75489401339616,23.599616604382582
89,23.74691747446529,23.583356914593185
90,23.752168971549835,23.643835990346023
91,23.75868894927923,23.613538654910048
92,23.76319204306125,23.63799717151552
93,23.764469570583767,23.64243573324724
94,23.76235697873086,23.651951741069777
95,23.769669426812065,23.606380606400776
96,23.769497591723944,23.60884759813716
97,23.76882057676333,23.544660985263647
98,23.76889357714488,23.54494789799944
99,23.769986067530454,23.588685295956395
100,23.7705676803172,23.55813609744256
101,23.771293112054767,23.55662474952585
102,23.77137756347656,23.55873092215243
103,23.770701938205296,23.58262320795759
104,23.771287539400472,23.592232767185312
105,23.77221417036213,23.594519306309948
106,23.777529092868605,23.599382261272424
107,23.778696723757328,23.59514892094777
108,23.778289530880897,23.587500918916334
109,23.778529168912403,23.633265194076017
110,23.77927115185013,23.559615480515685
111,23.78031287688375,23.607644816380738
112,23.781896900392404,23.58061596467459
113,23.78408404907893,23.616758820530105
114,23.78529381534875,23.61543119198938
115,23.785967092045016,23.536735413831025
116,23.7869505335073,23.57758335326726
117,23.787471792085576,23.597965362009923
118,23.78788181992828,23.56841315299506
119,23.78822051501665,23.59205137704557
120,23.78714025389736,23.62556967534764
121,23.788033407242573,23.614599967163464
122,23.78841191693082,23.624431558022533
123,23.789273830059447,23.624671040175063
124,23.79028694138935,23.63541518467796
125,23.79139998528041,23.632309851654234
126,23.791815391220897,23.63513800556621
127,23.79160401947077,23.653913828837467
128,23.79369486268536,23.64431804779903
129,23.79462606572497,23.66088564122893
130,23.79518941799365,23.638355293322537
131,23.79560696405574,23.605698665200133
132,23.7962475413616,23.597561587450524
133,23.79692784988598,23.632748013351776
134,23.79684838744895,23.650887028714813
135,23.79739852377192,23.6424763594606
136,23.798921873443547,23.67669562453154
137,23.80162765419548,23.65543823686645
138,23.802473975009605,23.649302549447256
139,23.80308666125021,23.626271782428347
140,23.80279000426468,23.62400987598385
141,23.80427096841114,23.62430674735041
142,23.801599721439548,23.60783578458432
143,23.801394241972265,23.5866325957602
144,23.794887591363736,23.59207065123234
145,23.80559924738872,23.586936384
146,23.80090334810629,23.58438560920575
147,23.801148864523743,23.5884081835133
148,23.8013281066561,23.586765556675736
149,23.80143694712599,23.586376079765586
150,23.80198961268357,23.59060435327224
151,23.77045489312956,23.58729742950545
152,23.77974051942808,23.58931605368392
153,23.794425352892155,23.597277830364533
154,23.79560679729302,23.59806653725392
155,23.74059698664208,23.60018758949156
156,23.842184792885146,23.614144247997096
157,23.825055356885567,23.616844850877325
158,23.819201026457907,23.58900077621207
159,23.81962482612207,23.57201390359303
160,23.81180785132236,23.59881578185357
161,23.81262726775067,23.584441916443016
162,23.81421758655208,23.56223844357707
163,23.814219379251337,23.57498612014101
164,23.81477104423259,23.599109307286867
165,23.83513092430129,23.60862071497202
166,23.835016636249147,23.61294617610357
167,23.833839944585858,23.59425378726867
168,23.831296660209613,23.59574935693635
169,23.82981213845842,23.589089221909205
170,23.83023399255749,23.5856001454799
171,23.83009790027945,23.58352815859656
172,23.83012431827399,23.581926206584924
173,23.82475227953524,23.573479520977248
174,23.82476567614057,23.58096367089275
175,23.824978937868213,23.58000835347171
176,23.825128329473333,23.57966955585296
177,23.825390230328225,23.57575273192604
178,23.825555436598147,23.577080596584928
179,23.82569630940755,23.578005274201967
180,23.82591439335724,23.57831575569724
181,23.826100625627028,23.57843215778489
182,23.82654503438425,23.579185835850296
183,23.826758351699468,23.5816343853692
184,23.826826641034124,23.57896776405944
185,23.826914163669382,23.57876490661188
186,23.82706088707096,23.579240388868502
187,23.827223800353448,23.579929773347008
188,23.827497944371512,23.58183598722371
189,23.827420802715697,23.58273671134756
190,23.82750086271915,23.585010888991885
191,23.827580908825706,23.58662511775908
192,23.828985203810728,23.58939000450369
193,23.8291479642274,23.588094308861137
194,23.829184943861,23.590973010116123
195,23.82921233463809,23.591485435142776
196,23.829307167039325,23.591814501915348
197,23.8293320285818,23.59316974378079
198,23.829362518366136,23.593376643015738
199,23.829460602640456,23.59460056984813
200,23.82949886078826,23.594213426341
