epoch,loss,accuracy,emb,L1,L2,L3,L4,scenario,L5,L6,L7,L8,model,learning_rate
0,0.0,0.0,19.80352020263672,19.81544949057324,18.099218205241776,18.135854668955982,16.763726934492045,prajjwal1_bert-medium_0_001,21.61708150839328,22.80044947556459,29.28989417348837,16.263658881404577,bert-medium,001
1,1.21946981652404,0.3078324225865209,19.80347633014394,19.81553006476175,18.09879778252273,18.13316017248157,16.7520905930705,prajjwal1_bert-medium_0_001,21.60256261773448,22.79085329538703,29.33824885912064,16.188823359477283,bert-medium,001
2,1.1716543935470023,0.3132969034608379,19.803379051889443,19.816349064283248,18.10086487594632,18.13311875973894,16.741346251552006,prajjwal1_bert-medium_0_001,21.57755625573664,22.778352775643214,29.39964505666375,16.056976485122096,bert-medium,001
3,1.112788205806892,0.3533697632058288,19.80321884850118,19.816464575262017,18.101492390172293,18.13253802245649,16.74571904806057,prajjwal1_bert-medium_0_001,21.560707606470217,22.764286534599485,29.4476816424038,16.041602963306865,bert-medium,001
4,1.07931300699168,0.4134790528233151,19.80293846477793,19.8167880810458,18.106511739650927,18.143529812060635,16.767301729685187,prajjwal1_bert-medium_0_001,21.55620715309796,22.761933234654272,29.45734226247652,16.033724022259044,bert-medium,001
5,1.0650457091670218,0.4316939890710382,19.802474975585938,19.81574657836247,18.10185911529485,18.13430210801421,16.7491001900428,prajjwal1_bert-medium_0_001,21.55890191361335,22.749584830306706,29.4389969177802,16.111923801442966,bert-medium,001
6,1.0407761396171833,0.4863387978142076,19.80308342327403,19.81431679647477,18.095988900717924,18.118666588065835,16.739018841519382,prajjwal1_bert-medium_0_001,21.551419034030268,22.75156067672757,29.431506158658497,16.215805526205315,bert-medium,001
7,1.012480905798615,0.5446265938069217,19.80338669518087,19.810954443092555,18.09667039047825,18.122059584098217,16.759234082720535,prajjwal1_bert-medium_0_001,21.581208498317253,22.79776226106237,29.181910836197204,16.553201838703536,bert-medium,001
8,0.9480196446017488,0.6083788706739527,19.80283737877462,19.810140182411736,18.09099036878576,18.09588984366106,16.778454264656443,prajjwal1_bert-medium_0_001,21.63300727885929,22.887394736590498,28.95431098868504,16.857095464765482,bert-medium,001
9,0.8725564557997907,0.6484517304189436,19.80304718017578,19.80871169293513,18.099078138452192,18.123744248909595,16.876244897616584,prajjwal1_bert-medium_0_001,21.759791417634336,23.048257560243588,28.239271181311548,17.526220005500946,bert-medium,001
10,0.7640212188001538,0.7468123861566485,19.803014758723247,19.806777287050675,18.101576897181666,18.12999840686013,16.935522777786673,prajjwal1_bert-medium_0_001,21.843043801563034,23.156938646660475,27.883987148819944,17.834015059340846,bert-medium,001
11,0.6382541673865257,0.7887067395264117,19.80364990234375,19.808697532000654,18.115976580288024,18.1571981294559,17.042068022847825,prajjwal1_bert-medium_0_001,21.942274333349346,23.363207040588712,27.0004630722852,18.416115752117665,bert-medium,001
12,0.5297431182557334,0.819672131147541,19.80419731487559,19.802919398240054,18.110581389324697,18.12559649635968,17.02082068716025,prajjwal1_bert-medium_0_001,21.931698894674444,23.36489456816015,27.051468673733847,18.38181995607248,bert-medium,001
13,0.3842036599235673,0.9052823315118396,19.805774681772256,19.80601411135036,18.12517134869685,18.16146800557121,17.05717179206334,prajjwal1_bert-medium_0_001,21.966414321315742,23.37802471445775,27.008059642353995,18.447775738269687,bert-medium,001
14,0.2793776416279145,0.941712204007286,19.8073959350586,19.80801526401429,18.133941692081304,18.17125504568409,17.103043241796165,prajjwal1_bert-medium_0_001,22.039101661445883,23.47500275436429,26.51874362966402,18.54215147369329,bert-medium,001
15,0.2053396839967408,0.9471766848816028,19.81038283606913,19.816719347010544,18.13733438238203,18.17224924334194,17.164448430629374,prajjwal1_bert-medium_0_001,22.061848805467505,23.50103306726897,26.42105736237406,18.55535873385292,bert-medium,001
16,0.1250033010686247,0.9854280510018216,19.810592651367188,19.81415588434493,18.124735959023507,18.163944570961764,17.18789601977406,prajjwal1_bert-medium_0_001,22.10307134131482,23.53420431279528,26.373251409478527,18.579660189824896,bert-medium,001
17,0.1242634542625675,0.9690346083788708,19.81090355266856,19.809583959249416,18.105577256944443,18.127449369169977,17.18290834131571,prajjwal1_bert-medium_0_001,22.14326535417734,23.587535517680408,26.27622849650288,18.603714725793168,bert-medium,001
18,0.0811535194651893,0.9817850637522768,19.810958862304688,19.80383887230156,18.097639948943925,18.081963196912533,17.14080759128369,prajjwal1_bert-medium_0_001,22.094709441527208,23.616044424922087,26.17176991169136,18.576848097837686,bert-medium,001
19,0.0644451262995953,0.9908925318761383,19.812643054621685,19.809476133252755,18.10000645093796,18.08569196968565,17.153488381529982,prajjwal1_bert-medium_0_001,22.0645531826332,23.613642235705544,26.21680190567545,18.61501473459824,bert-medium,001
20,0.0569848294941562,0.9872495446265938,19.811914440495503,19.808838557675887,18.096257235834507,18.10222713282851,17.166651282805564,prajjwal1_bert-medium_0_001,22.04688779903892,23.54139100788721,26.35661246433501,18.653860151224883,bert-medium,001
21,0.0401413168771725,0.9927140255009108,19.812501889977515,19.805250379774307,18.10303860023373,18.12110931452072,17.233479956677268,prajjwal1_bert-medium_0_001,22.127549802019296,23.6871451289276,26.0178227103256,18.627364945541967,bert-medium,001
22,0.0460189390649343,0.9908925318761383,19.81206894615743,19.806086361299663,18.118148400701028,18.14114147804691,17.1349060809026,prajjwal1_bert-medium_0_001,22.056736958265738,23.562344521555527,26.320560503961392,18.640986069086907,bert-medium,001
23,0.0798245975459316,0.9817850637522768,19.81241989830587,19.803095847096817,18.112721788861496,18.13107969634954,17.11991950418997,prajjwal1_bert-medium_0_001,22.058660399501225,23.554805373450662,26.447193249978653,18.62776992881233,bert-medium,001
24,0.0461283754184163,0.9872495446265938,19.81408881793691,19.80337320129728,18.10438104014579,18.15614856657435,17.198819394971505,prajjwal1_bert-medium_0_001,22.14107317481536,23.690952738777536,26.16559521617785,18.62785158695853,bert-medium,001
25,0.0306372790561754,0.9927140255009108,19.81737708697988,19.806044434371977,18.10298040004376,18.145124063682903,17.21758569046882,prajjwal1_bert-medium_0_001,22.20685537091587,23.72455555233148,26.120592933752064,18.65447991098428,bert-medium,001
26,0.0248146537430109,0.994535519125683,19.81720351478007,19.80550855626174,18.08374526505045,18.112245611805733,17.187477806661082,prajjwal1_bert-medium_0_001,22.18135812894894,23.722311620938104,26.079055674957665,18.670962696735543,bert-medium,001
27,0.0447638151380072,0.989071038251366,19.816532114164424,19.809779405159595,18.09547923214883,18.12381380286156,17.199716703487876,prajjwal1_bert-medium_0_001,22.16479355997944,23.70885266024341,26.01819172843558,18.67692162908057,bert-medium,001
28,0.0373482206897413,0.9927140255009108,19.817998889582626,19.81363826675276,18.09853678496592,18.118184157408,17.188102346951844,prajjwal1_bert-medium_0_001,22.14396428453901,23.63845334634972,26.12989540308551,18.67378667056669,bert-medium,001
29,0.0200578945439532,0.9963570127504554,19.817886352539062,19.813694715934155,18.112314873922934,18.129120957004567,17.22553539449834,prajjwal1_bert-medium_0_001,22.16810040916901,23.661254993987647,26.077386713635946,18.680772235919,bert-medium,001
30,0.0142862077290107,0.9963570127504554,19.81800651897716,19.81587134467231,18.11687426402052,18.14798787990772,17.275357161280454,prajjwal1_bert-medium_0_001,22.17141230293093,23.69284027044021,25.972986606952272,18.678963999930627,bert-medium,001
31,0.0185001107078649,0.9927140255009108,19.81820678710937,19.82440748371062,18.11189470134797,18.13406640280357,17.25184978769994,prajjwal1_bert-medium_0_001,22.122238854024364,23.63648214149128,26.059291485228822,18.69149259139932,bert-medium,001
32,0.0224326028741339,0.9927140255009108,19.81761550208476,19.82445178700709,18.10238954582284,18.11125195612673,17.189606463322875,prajjwal1_bert-medium_0_001,22.081795989489947,23.547474178460128,26.211388287431337,18.6927394067872,bert-medium,001
33,0.0269286405797267,0.9963570127504554,19.81830214759257,19.82017569898039,18.106246308985085,18.11541239420573,17.20562703839634,prajjwal1_bert-medium_0_001,22.11520820714954,23.579682230297983,26.19530955385858,18.700488703715564,bert-medium,001
34,0.0267600485247531,0.994535519125683,19.81946563720703,19.824759950620447,18.12511958276856,18.144837065038352,17.246641259810094,prajjwal1_bert-medium_0_001,22.14671685613136,23.685966199864456,26.180952784359345,18.66215733317947,bert-medium,001
35,0.0135652147647407,0.9981785063752276,19.818374633789062,19.820198670545345,18.12939298869482,18.161012937896672,17.229494424899855,prajjwal1_bert-medium_0_001,22.17233671038963,23.66237198459646,26.127693106785063,18.703999614889288,bert-medium,001
36,0.0077713432625098,1.0,19.81855010986328,19.81834429687056,18.12451588781805,18.154245164659287,17.227183941283513,prajjwal1_bert-medium_0_001,22.168268172467343,23.700389674452484,26.069141186434496,18.70736259363171,bert-medium,001
37,0.0090746780134778,0.9981785063752276,19.81840324749278,19.81878682954716,18.116233881271167,18.13083688982632,17.197940597117274,prajjwal1_bert-medium_0_001,22.131542574078225,23.65752534571024,26.112921959715464,18.71224747676884,bert-medium,001
38,0.0058737919082312,1.0,19.81856154700663,19.81864034239277,18.114230380032232,18.12218863065125,17.19662959197831,prajjwal1_bert-medium_0_001,22.10993956129841,23.679791282000654,26.10258189272577,18.70916610467629,bert-medium,001
39,0.0046725240646299,1.0,19.818443298339844,19.818368046661544,18.11466382414048,18.12240097518393,17.20044894470326,prajjwal1_bert-medium_0_001,22.11239451701958,23.68569701703737,26.08668668152856,18.715224163562656,bert-medium,001
40,0.004512141019323,1.0,19.81834221233653,19.81796883060198,18.11419344208931,18.12339160134015,17.205606568272213,prajjwal1_bert-medium_0_001,22.11576876614264,23.697512364344085,26.0616837798572,18.71825821673284,bert-medium,001
41,0.0042683357043778,1.0,19.81819533606913,19.81762992706021,18.11354070500164,18.12299930593355,17.207969860083853,prajjwal1_bert-medium_0_001,22.118548144842546,23.70024292325713,26.048352489923083,18.724361009719377,bert-medium,001
42,0.0107868276332896,0.9981785063752276,19.818029407160747,19.8162251734777,18.12452052938048,18.132687469649184,17.234397179442027,prajjwal1_bert-medium_0_001,22.13038012673077,23.67481536031421,26.0799663105949,18.72975019722472,bert-medium,001
43,0.0051128542786956,1.0,19.81803513268087,19.8135509664678,18.11836781875249,18.13546259589968,17.26140301257969,prajjwal1_bert-medium_0_001,22.136257011816586,23.651416535368817,26.041284418714067,18.74161248823767,bert-medium,001
44,0.022519165001986,0.9908925318761383,19.81678771972656,19.807277283381893,18.11284510989441,18.11219595820526,17.1917622050301,prajjwal1_bert-medium_0_001,22.123596858457137,23.689187722127947,26.09675100635744,18.7135730180584,bert-medium,001
45,0.0151875444182376,0.994535519125683,19.81575202594472,19.80471876801037,18.11188158268052,18.109750299505848,17.17334354032367,prajjwal1_bert-medium_0_001,22.098211625451817,23.62380828579484,26.16238183749396,18.72919015241668,bert-medium,001
46,0.0050308959887707,1.0,19.815711975097656,19.80496723056925,18.111935544317973,18.111264977515937,17.17683179956099,prajjwal1_bert-medium_0_001,22.099107891701177,23.628016390218544,26.126519152809795,18.731435042695704,bert-medium,001
47,0.0039011068779547,1.0,19.8156967163086,19.805028168447247,18.110963401030105,18.107035207835267,17.170565412344178,prajjwal1_bert-medium_0_001,22.096289476627422,23.619968685296065,26.12908538095721,18.72945187261196,bert-medium,001
48,0.0036415525097976,1.0,19.815641406672466,19.805170722780765,18.111316938000734,18.1096954623641,17.179225900785518,prajjwal1_bert-medium_0_001,22.095919457941108,23.63329299898964,26.100829744599555,18.72860934564976,bert-medium,001
49,0.0030408109061569,1.0,19.815469738347065,19.80522102953524,18.11164589136676,18.109102829340813,17.178421020507812,prajjwal1_bert-medium_0_001,22.097154363691264,23.636190223346425,26.09709603842925,18.72881306021157,bert-medium,001
50,0.0031823811048339,1.0,19.815332409245503,19.805184703055627,18.110375326187885,18.10725009549945,17.176565187659204,prajjwal1_bert-medium_0_001,22.09736970995293,23.63907845641312,26.09588789809597,18.72898628498904,bert-medium,001
51,0.003256949817911,1.0,19.81531142493632,19.8051430818596,18.110491115104523,18.107886976231644,17.17842203498104,prajjwal1_bert-medium_0_001,22.09704876119756,23.625775210410087,26.093141455033656,18.73325407657033,bert-medium,001
52,0.0027213951035017,1.0,19.81521796832753,19.805139162935628,18.11032253188948,18.10814581976997,17.17997850094988,prajjwal1_bert-medium_0_001,22.09871649959265,23.62739422629657,26.083016567542906,18.73555284510545,bert-medium,001
