model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.21946981652404,1.0983937812723925,1.104196659202784,1.107343258632894,1.099862714065663,1.1382174175249604
2,1.1716543935470023,1.0785888447996783,1.0966974012621549,1.0927279152636664,1.0969384107433382,1.1254546264036962
3,1.112788205806892,1.0086687744672933,1.09714328048442,1.0583294692335503,1.0978946123401108,1.1090762210677887
4,1.07931300699168,0.8343808492762609,1.0814828019324547,0.9632466501949176,1.0975767178613631,1.0988791652353391
5,1.0650457091670218,0.6743905295901191,1.0696757339171807,0.8131585849692169,1.1048436136627893,1.097084836970256
6,1.0407761396171833,0.5890281835030754,1.054536035803498,0.712001983604643,1.0947964495431313,1.0946226322909165
7,1.012480905798615,0.5073481037515598,1.039659102106355,0.6427287447979905,1.090675833012454,1.0913308211499697
8,0.9480196446017488,0.4395619084464816,1.01562907917252,0.5691025306102945,1.0946157656080735,1.085255653615556
9,0.8725564557997907,0.3759673338091137,0.961552320716594,0.5141404490763972,1.096728078220277,1.0777105903356383
10,0.7640212188001538,0.3015442055017814,0.9069969573741836,0.4568948261555092,1.0926084572717358,1.0667043962744271
11,0.6382541673865257,0.2436598463124011,0.812283486833555,0.3885270425710395,1.088914244987057,1.0487649614815715
12,0.5297431182557334,0.2017062133091306,0.7021018033253473,0.3333865019894462,1.087763614776139,1.0226539803315182
13,0.3842036599235673,0.1576372679428416,0.5952835444001335,0.2729467071908844,1.0869286155874396,0.9947460868439778
14,0.2793776416279145,0.1354754446805114,0.4656666427145021,0.2284690908410825,1.0854285267098571,0.9614235020803664
15,0.2053396839967408,0.1149472457531554,0.3492108557122218,0.1824192671939776,1.0824065393003175,0.9150643670426548
16,0.1250033010686247,0.094243804297035,0.2555453281693554,0.1451800386900353,1.08192099096128,0.8821952050769132
17,0.1242634542625675,0.0789957934802836,0.185827299219663,0.1209536917045123,1.0740748837128795,0.841166862075541
18,0.0811535194651893,0.0819073070668738,0.1347093416042015,0.1083622768361256,1.0699923390247783,0.8088716642682547
19,0.0644451262995953,0.0731067356836452,0.1021693498439041,0.0964741590254374,1.0637729762898986,0.7769412396168114
20,0.0569848294941562,0.0710684791727696,0.0629967950379479,0.0846184401118633,1.058249175005706,0.7464180470880167
21,0.0401413168771725,0.0685681340364502,0.0745500249411564,0.0765801939768108,1.0461123575929736,0.7128924145608266
22,0.0460189390649343,0.0464694752678259,0.0459361719968431,0.0621487010455502,1.0353229280377998,0.703667322268322
