model,final_epoch,final_loss,final_accuracy,min_loss,max_accuracy,final_emb,final_L1,final_L2,final_L3,final_L4,final_L5,final_L6,final_L7,final_L8,final_L9,final_L10,final_L11,final_L12
bert_uncased_L-12_H-768_A-12,200,0.000192565306924,1.0,0.0,1.0,14.769249,12.408891,12.454803,13.787301,16.863165,17.365082,18.349354,21.09562,23.320091,23.919613,24.359571,25.715021,20.437864
bert_uncased_L-2_H-128_A-2,200,0.0253316712564023,0.9963570127504554,0.0,1.0,12.61712456096934,9.048105917341722,11.792091842123286,,,,,,,,,,
bert_uncased_L-4_H-256_A-4,200,0.0021591631395365,1.0,0.0,1.0,16.673902515070903,16.95725497608845,14.516074342154416,14.02032748640995,13.749876164782023,,,,,,,,
bert_uncased_L-4_H-512_A-8,200,0.0003391484100581,1.0,0.0,1.0,18.05853081096934,15.84847508275878,16.36220040521118,21.569419582901972,18.000421715130138,,,,,,,,
bert_uncased_L-8_H-512_A-8,200,0.0003747888114464,1.0,0.0,1.0,19.8091297114916,19.77158284838734,18.12842106775725,18.090657899505672,17.11814492647765,22.2709676607059,23.741987134589525,26.119759286904813,18.863166697906884,,,,
