epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,model
0,0.0,0.0,14.785799026142024,12.47387139809798,12.357501478071924,13.473195843893649,16.15085494581216,15.98232249703191,16.63523440705651,18.64735362040591,22.00341191440251,24.407869338642023,25.949687808453657,28.37037948977854,15.202338361227945,bert_uncased_L-12_H-768_A-12
1,1.113478476680434,0.3342435827416712,14.78583717311468,12.47447898985583,12.357407472486512,13.46243455721211,16.09849575007307,15.94259316322692,16.60969631793003,18.70171653987844,22.04822423474159,24.40239835440863,25.94337725053388,28.20157326754381,15.272487336899571,bert_uncased_L-12_H-768_A-12
2,1.0621078282827978,0.4343710176588385,14.78594589302845,12.477894703677372,12.36585363863423,13.417791191919154,15.90778948903496,15.942652502499186,16.927137236332126,19.214012143218238,22.450145708240708,24.305873060408736,25.66831404642397,27.46936728788077,16.58229463842209,bert_uncased_L-12_H-768_A-12
3,0.8954615612705397,0.5962133624613144,14.78855037637124,12.486039449711564,12.383924925585555,13.46474956385364,15.992716847754297,16.209454029304787,17.43138624240244,20.0439493917885,22.990621000436104,24.116144124393404,25.266130373427156,26.97722505867731,18.620271833785434,bert_uncased_L-12_H-768_A-12
4,0.6666287304316413,0.726743127616967,14.792742729360628,12.486420466646829,12.398743486222122,13.489082639212604,16.01502530570024,16.34601734549583,17.669826006858962,20.304633741449965,23.17014835676425,24.056518340792223,25.02357018312947,26.53646483630533,19.54713491054044,bert_uncased_L-12_H-768_A-12
5,0.5456216581397731,0.7871836883306026,14.795686721454524,12.494088695671266,12.404243350484734,13.542988046409652,16.146040770084333,16.609640385703965,17.95948771781095,20.329666237698294,23.114282274341704,24.09913915262269,24.955073740146812,26.292816653790727,19.605778387025605,bert_uncased_L-12_H-768_A-12
6,0.440893167252426,0.831785909339159,14.799685478384063,12.484849044019226,12.403011478970615,13.548046566935245,16.177824822145798,16.7209065282972,18.06212673051835,20.35661323834872,23.22309796180357,24.06359369655396,24.873268559398756,26.263213747428367,19.83204129474445,bert_uncased_L-12_H-768_A-12
7,0.3477548757429312,0.8725650828326962,14.802512168363428,12.495385935804396,12.435986427711308,13.57206300922632,16.149635949682587,16.690774231123704,18.10785526016599,20.484484089369246,23.23462824784145,24.04408689728422,24.90630301547229,26.213279772733657,19.94155616836645,bert_uncased_L-12_H-768_A-12
8,0.2625204172048459,0.9106135081012198,14.801192283109522,12.494571783710606,12.452175738315384,13.565995279392345,16.175838904499727,16.676989968044822,17.982851948955986,20.559421571946505,23.28562401397055,23.99662057406781,24.846616132824057,26.201367628068716,20.11361498774541,bert_uncased_L-12_H-768_A-12
9,0.1807489651144256,0.9411978882213726,14.805833816181089,12.47939734647297,12.42466747367966,13.5619246328157,16.067242777762072,16.719787125419924,18.07673233340569,20.56865007812678,23.26035938162242,24.029585178055097,24.72550327114214,25.90528149607401,20.190210472619448,bert_uncased_L-12_H-768_A-12
10,0.1356054596169215,0.9583105770981248,14.805535316988134,12.467354965279409,12.412288899806253,13.6378926197818,16.18613524673937,16.852095464528986,18.24192919228521,20.917116184258926,23.36065270621638,23.961414364242344,24.698810126684677,25.98063383548611,20.26670666563908,bert_uncased_L-12_H-768_A-12
11,0.1169553118716025,0.9632259239031494,14.804525375713444,12.470985684828008,12.42634731135081,13.577694546866022,16.004721745189457,16.61988452499559,17.964108659989755,20.86843544699424,23.35084149374373,23.91225118062415,24.626841641114797,25.92129708273954,20.24501310939153,bert_uncased_L-12_H-768_A-12
12,0.0996545410770824,0.9692335699981796,14.816470146352817,12.474635554948575,12.389433457468153,13.469759171807263,15.90246892457188,16.35603679613231,17.608664309329594,20.667686622129334,23.422188684368702,23.88468890048627,24.664158229248,25.964749649967324,20.266141420979327,bert_uncased_L-12_H-768_A-12
13,0.0678411138741339,0.978882213726561,14.82486248033719,12.461395230337546,12.38406594299172,13.448119538003535,15.891275138861925,16.51807287310981,17.842055867457464,20.62344679388869,23.337953693550315,23.931741408565625,24.57570864727604,25.81734584472923,20.346835456041177,bert_uncased_L-12_H-768_A-12
14,0.0781462825878833,0.974148916803204,14.809904098857976,12.444487464942286,12.396633687792807,13.442994186315254,15.852906644311776,16.496220317669042,17.813760159858997,20.41040353794122,23.19345128330055,23.970919327290574,24.741681751561647,26.027091036896746,20.21239749777193,bert_uncased_L-12_H-768_A-12
15,0.0590949960776255,0.9817950118332424,14.805586814359522,12.464650031019817,12.38195183957272,13.42199983983966,15.890886686982384,16.63324322675326,17.952162146242767,20.77337284251334,23.352727819526432,23.930920468769116,24.6302591390174,25.93702784978733,20.233249428882942,bert_uncased_L-12_H-768_A-12
16,0.0551320363413261,0.9827052612415802,14.818206787109377,12.458088241291028,12.361487283920214,13.448605101116796,15.859457348292802,16.459005635357197,17.77327140337258,20.53287720693258,23.208385108490795,23.95809485676639,24.74180394132216,25.9813513485825,20.08285277592513,bert_uncased_L-12_H-768_A-12
17,0.0497348381488858,0.984525760058256,14.821057319467496,12.45846512963076,12.34523514018952,13.491822994668995,15.99180521358238,16.615528650455694,17.82946731925727,20.63915456997205,23.20018781505385,23.954770232470946,24.674842074727746,25.957638887592555,20.24250931377817,bert_uncased_L-12_H-768_A-12
