epoch,loss,accuracy,emb,L1,L2,L3,L4,model
0,0.0,0.0,16.688929,17.009037,14.569572,13.203301,14.394337,bert_uncased_L-4_H-256_A-4
1,1.106442314602303,0.3415255780083743,16.688467,17.006887,14.604547,13.163669,14.365094,bert_uncased_L-4_H-256_A-4
2,1.0993468747554789,0.3471691243400692,16.687672,17.003588,14.62605,13.138483,14.342415,bert_uncased_L-4_H-256_A-4
3,1.0945108085301063,0.3664664117968323,16.686567,16.99903,14.644779,13.123044,14.341137,bert_uncased_L-4_H-256_A-4
4,1.078654631573538,0.4088840342253778,16.685503,16.988478,14.619153,13.117451,14.280341,bert_uncased_L-4_H-256_A-4
5,1.0426347144158317,0.474604041507373,16.683596,16.977062,14.696575,13.551523,14.028152,bert_uncased_L-4_H-256_A-4
6,0.9609766286426004,0.5587110868377936,16.682795,16.966389,14.806228,13.68016,13.854061,bert_uncased_L-4_H-256_A-4
7,0.873862174371976,0.6044056071363554,16.677723,16.95744,14.901838,13.899076,13.748232,bert_uncased_L-4_H-256_A-4
8,0.8029888566131043,0.6502821773165848,16.67512,16.957417,14.972308,13.883858,13.743047,bert_uncased_L-4_H-256_A-4
9,0.7509400382754626,0.6757691607500456,16.672398,16.953709,14.997983,13.923795,13.705693,bert_uncased_L-4_H-256_A-4
10,0.685877523590649,0.714727835426907,16.67155,16.954882,15.018684,13.989585,13.712037,bert_uncased_L-4_H-256_A-4
11,0.6461346973253906,0.7312943746586564,16.666996,16.956367,15.03088,14.010132,13.693987,bert_uncased_L-4_H-256_A-4
12,0.6065379089721452,0.7609685053704716,16.667791,16.955599,15.075995,14.106616,13.713041,bert_uncased_L-4_H-256_A-4
13,0.5599816747480417,0.7804478427089022,16.66615,16.951668,15.061962,14.04236,13.712701,bert_uncased_L-4_H-256_A-4
14,0.5367321262219859,0.7948297833606408,16.66326,16.949057,15.109164,13.989128,13.677221,bert_uncased_L-4_H-256_A-4
15,0.4944702266965888,0.8077553249590388,16.661142,16.948631,15.123268,13.951932,13.726073,bert_uncased_L-4_H-256_A-4
16,0.4488688848821838,0.8263244128891316,16.660656,16.947615,15.10628,14.073204,13.676475,bert_uncased_L-4_H-256_A-4
17,0.4221882623834469,0.8383397050791916,16.664995,16.94571,15.128567,14.09797,13.69304,bert_uncased_L-4_H-256_A-4
18,0.3780947247533314,0.8596395412342982,16.662771,16.941525,15.125588,14.064491,13.695085,bert_uncased_L-4_H-256_A-4
19,0.354891836786995,0.8703804842526852,16.656912,16.937147,15.128305,13.873682,13.7023325,bert_uncased_L-4_H-256_A-4
20,0.3071795365056465,0.889859821591116,16.655752,16.933521,15.21652,13.922124,13.688568,bert_uncased_L-4_H-256_A-4
21,0.28533568131625,0.897141816857819,16.656424,16.925854,15.224594,13.877984,13.699616,bert_uncased_L-4_H-256_A-4
22,0.2570216706310511,0.9064263608228654,16.65413,16.92679,15.2013855,13.882797,13.710287,bert_uncased_L-4_H-256_A-4
23,0.2230298120244298,0.9189878026579282,16.649057,16.929102,15.143022,13.80858,13.692238,bert_uncased_L-4_H-256_A-4
