epoch,loss,accuracy,emb,L1,L2,L3,L4,model
0,0.0,0.0,18.05905,15.791344,16.47774,20.330784,18.313494,bert_uncased_L-4_H-512_A-8
1,1.1415700525094223,0.3322410340433279,18.058634,15.79115,16.507736,20.39074,18.243965,bert_uncased_L-4_H-512_A-8
2,1.1038591616491835,0.3539049699617695,18.058628,15.787885,16.598097,20.420433,18.25848,bert_uncased_L-4_H-512_A-8
3,1.0721559597346466,0.4223557254687784,18.060678,15.793335,16.525816,20.465889,18.242886,bert_uncased_L-4_H-512_A-8
4,1.010301184419854,0.5164755142909158,18.063965,15.81241,16.632614,20.645863,18.154703,bert_uncased_L-4_H-512_A-8
5,0.8689665499007835,0.6146004005097396,18.069664,15.841863,16.664082,21.155748,18.18007,bert_uncased_L-4_H-512_A-8
6,0.7454891415452254,0.6846896049517568,18.06885,15.866649,16.880827,21.168087,18.165548,bert_uncased_L-4_H-512_A-8
7,0.6696454567942228,0.7167303841252504,18.067383,15.875119,16.944498,21.231888,18.148115,bert_uncased_L-4_H-512_A-8
8,0.6039400062620933,0.7582377571454578,18.06544,15.878554,17.099142,21.30799,18.122492,bert_uncased_L-4_H-512_A-8
9,0.544886301674631,0.7837247405789186,18.066734,15.871787,17.071264,21.2268,18.079693,bert_uncased_L-4_H-512_A-8
10,0.4724188663476416,0.820134716912434,18.062462,15.902548,17.099054,21.332882,18.069885,bert_uncased_L-4_H-512_A-8
11,0.4130244815249749,0.84598580010923,18.060099,15.893346,17.07006,21.332981,18.068085,bert_uncased_L-4_H-512_A-8
12,0.3526157838669323,0.8718368833060258,18.058952,15.903764,16.97891,21.315456,18.04969,bert_uncased_L-4_H-512_A-8
13,0.30493688689714,0.8902239213544512,18.057281,15.928672,17.004646,21.373549,18.07858,bert_uncased_L-4_H-512_A-8
14,0.2540239113456409,0.9091571090478792,18.055511,15.918494,16.986183,21.325651,18.084408,bert_uncased_L-4_H-512_A-8
15,0.2129820201613094,0.9246313489896232,18.06021,15.926382,17.123037,21.462742,18.096754,bert_uncased_L-4_H-512_A-8
16,0.1852222781634473,0.931549244492991,18.054678,15.885342,16.977974,21.396324,18.058113,bert_uncased_L-4_H-512_A-8
17,0.1446754073925233,0.950118332423084,18.050741,15.88323,17.009192,21.409754,18.098507,bert_uncased_L-4_H-512_A-8
18,0.1200968308725926,0.9584926269797924,18.047365,15.897419,16.861284,21.450548,18.063807,bert_uncased_L-4_H-512_A-8
19,0.1216883405448959,0.955215729109776,18.043617,15.906335,16.857592,21.400127,18.087934,bert_uncased_L-4_H-512_A-8
20,0.0921576524781693,0.9692335699981796,18.04345,15.912904,16.794004,21.350883,18.036148,bert_uncased_L-4_H-512_A-8
21,0.0907900722623793,0.968141270708174,18.043304,15.894374,16.828154,21.373665,18.04562,bert_uncased_L-4_H-512_A-8
22,0.0611943053115541,0.9787001638448936,18.041023,15.8686285,16.836197,21.46126,18.05663,bert_uncased_L-4_H-512_A-8
23,0.0727557353730468,0.9754232659748772,18.038584,15.916659,16.955685,21.453117,18.035812,bert_uncased_L-4_H-512_A-8
24,0.0674558871152886,0.9766976151465502,18.034302,15.922822,16.849937,21.558226,18.054296,bert_uncased_L-4_H-512_A-8
25,0.0551654280419533,0.9814309120699072,18.033651,15.934058,16.854864,21.473675,18.056273,bert_uncased_L-4_H-512_A-8
26,0.0462746102113721,0.983251410886583,18.037931,15.930833,16.777199,21.304447,18.045004,bert_uncased_L-4_H-512_A-8
27,0.0417252322932291,0.9859821591115966,18.036781,15.899095,16.655664,21.311018,18.047632,bert_uncased_L-4_H-512_A-8
28,0.0400250128320057,0.9874385581649372,18.043447,15.874858,16.553453,21.117744,18.030617,bert_uncased_L-4_H-512_A-8
29,0.0321823574362101,0.9885308574549426,18.039549,15.881006,16.620289,21.193737,18.032558,bert_uncased_L-4_H-512_A-8
30,0.0333808863776873,0.98798470780994,18.038534,15.86406,16.60577,21.260136,18.04796,bert_uncased_L-4_H-512_A-8
31,0.0322765274190874,0.98798470780994,18.034515,15.829718,16.638235,21.274996,18.028692,bert_uncased_L-4_H-512_A-8
32,0.0316316796321406,0.9885308574549426,18.037142,15.834171,16.708206,21.317732,18.034447,bert_uncased_L-4_H-512_A-8
33,0.0305207948110205,0.9901693063899508,18.029787,15.82306,16.513525,21.171654,18.058414,bert_uncased_L-4_H-512_A-8
34,0.0392059200732744,0.9876206080466048,18.033682,15.843087,16.71122,21.341955,18.072205,bert_uncased_L-4_H-512_A-8
35,0.0241501671549467,0.9925359548516294,18.025719,15.842618,16.710505,21.326262,18.070517,bert_uncased_L-4_H-512_A-8
36,0.0181811210503255,0.9938103040233024,18.029175,15.854448,16.75817,21.499304,18.050417,bert_uncased_L-4_H-512_A-8
37,0.0224854516254725,0.992718004733297,18.023893,15.844062,16.687548,21.374706,18.061756,bert_uncased_L-4_H-512_A-8
38,0.0211119955947529,0.9934462042599672,18.024414,15.823994,16.606482,21.349466,18.05196,bert_uncased_L-4_H-512_A-8
39,0.0218830784457999,0.993082104496632,18.026209,15.856304,16.634779,21.433685,18.068748,bert_uncased_L-4_H-512_A-8
40,0.0204037676868668,0.9932641543782996,18.02828,15.854494,16.57818,21.499962,18.070894,bert_uncased_L-4_H-512_A-8
41,0.0218902786513941,0.9938103040233024,18.029776,15.903859,16.684568,21.514593,18.07,bert_uncased_L-4_H-512_A-8
42,0.0181235896767258,0.99399235390497,18.026499,15.904549,16.714405,21.51542,18.076815,bert_uncased_L-4_H-512_A-8
43,0.0188307582215339,0.9938103040233024,18.029287,15.886518,16.634394,21.351202,18.063112,bert_uncased_L-4_H-512_A-8
44,0.0193911446238927,0.9929000546149646,18.023071,15.889505,16.47115,21.212372,18.072155,bert_uncased_L-4_H-512_A-8
45,0.0194589808914692,0.992718004733297,18.026497,15.912509,16.53817,21.20543,18.072767,bert_uncased_L-4_H-512_A-8
46,0.0142610909933235,0.9959949026033134,18.023277,15.912606,16.753319,21.338722,18.066708,bert_uncased_L-4_H-512_A-8
47,0.0158433344411045,0.9947205534316402,18.023468,15.870614,16.32584,21.096594,18.041756,bert_uncased_L-4_H-512_A-8
48,0.0128599770795718,0.9956308028399782,18.021158,15.856353,16.341549,21.184164,18.054495,bert_uncased_L-4_H-512_A-8
49,0.0117718992897999,0.996541052248316,18.02555,15.842331,16.280855,21.074808,18.05103,bert_uncased_L-4_H-512_A-8
50,0.0139635670174284,0.9954487529583106,18.035189,15.863476,16.29801,21.195744,18.089499,bert_uncased_L-4_H-512_A-8
51,0.0188598352896489,0.9941744037866376,18.031868,15.838682,16.452698,21.325756,18.084717,bert_uncased_L-4_H-512_A-8
52,0.0145675113933766,0.9947205534316402,18.032066,15.832251,16.413115,21.368885,18.07641,bert_uncased_L-4_H-512_A-8
53,0.0148401878743414,0.9963590023666484,18.02816,15.835414,16.461946,21.305992,18.068087,bert_uncased_L-4_H-512_A-8
54,0.0140216569303952,0.9950846531949754,18.027376,15.85285,16.51539,21.252089,18.054016,bert_uncased_L-4_H-512_A-8
55,0.0177580590180453,0.9934462042599672,18.030403,15.798303,16.528028,21.551245,18.069923,bert_uncased_L-4_H-512_A-8
56,0.0194728421442798,0.99399235390497,18.030241,15.8243475,16.56357,21.5246,18.06702,bert_uncased_L-4_H-512_A-8
