epoch,loss,accuracy,emb,L1,L2,L3,L4,model
0,0.0,0.0,16.688884876392507,17.007445723922164,14.579298513906974,13.204106224907768,14.370832090024594,bert_uncased_L-4_H-256_A-4
1,1.106300782274317,0.4259259259259259,16.688882757116247,17.007465645118995,14.57897836190683,13.20299968013057,14.370389302571615,bert_uncased_L-4_H-256_A-4
2,1.106705281469557,0.3703703703703703,16.688876964427806,17.00750873706959,14.578023274739584,13.199940151638454,14.368651072184244,bert_uncased_L-4_H-256_A-4
3,1.0951311809045297,0.3518518518518518,16.688886713098597,17.007705688476562,14.575999789767796,13.19865855464229,14.36526870727539,bert_uncased_L-4_H-256_A-4
4,1.1027796268463137,0.3888888888888889,16.688875127721715,17.007828465214484,14.573765224880642,13.19553784970884,14.361959951895257,bert_uncased_L-4_H-256_A-4
5,1.0858495853565358,0.3703703703703703,16.68885223953812,17.008264047128183,14.568940621835214,13.191960935239438,14.359733016402632,bert_uncased_L-4_H-256_A-4
6,1.0857704480489094,0.4259259259259259,16.688821721959997,17.0088821693703,14.563235954002096,13.185912662082249,14.355993765371815,bert_uncased_L-4_H-256_A-4
7,1.0731086510199088,0.4074074074074074,16.688795301649307,17.009460731788916,14.55495904993128,13.176195921721282,14.349351812292028,bert_uncased_L-4_H-256_A-4
8,1.0786853233973186,0.4074074074074074,16.688732288501882,17.010066562228733,14.548395510073062,13.170048042579934,14.340514289008247,bert_uncased_L-4_H-256_A-4
9,1.0683099119751542,0.4074074074074074,16.688674926757812,17.01049084133572,14.541540640371815,13.163730056197554,14.329877217610678,bert_uncased_L-4_H-256_A-4
10,1.06656281153361,0.4074074074074074,16.688632682517724,17.010740633364076,14.535038983380351,13.156055591724536,14.3175698739511,bert_uncased_L-4_H-256_A-4
11,1.0754484821248935,0.4074074074074074,16.688587047435618,17.01069160743996,14.530022373905888,13.139968872070312,14.306825991030092,bert_uncased_L-4_H-256_A-4
12,1.0616122395903975,0.4629629629629629,16.688554834436488,17.010675218370224,14.525202009412975,13.121170609085649,14.298284177426938,bert_uncased_L-4_H-256_A-4
13,1.071092923482259,0.4259259259259259,16.688495494701243,17.011108539722585,14.51861755936234,13.105960845947266,14.291167789035374,bert_uncased_L-4_H-256_A-4
14,1.0681941950762714,0.4444444444444444,16.688276361536097,17.01187444616247,14.512582849573208,13.09881704824942,14.28487452754268,bert_uncased_L-4_H-256_A-4
15,1.0513808064990573,0.5370370370370371,16.688035894323278,17.01232655843099,14.504020549632886,13.08184051513672,14.28952690407082,bert_uncased_L-4_H-256_A-4
16,1.0367194325835616,0.5555555555555556,16.687755726001882,17.012358771430122,14.499455063431352,13.062888392695674,14.287887855812356,bert_uncased_L-4_H-256_A-4
17,1.0383230182859633,0.5185185185185185,16.687608648229528,17.012169308132595,14.495732201470268,13.043766445583769,14.288136941415292,bert_uncased_L-4_H-256_A-4
18,1.0072792636023626,0.6666666666666666,16.687671520091868,17.01209908944589,14.492431923195168,13.038430531819662,14.28307384914822,bert_uncased_L-4_H-256_A-4
19,0.9979648104420414,0.6296296296296297,16.68781464188187,17.012180893509477,14.487166510687937,13.018678453233507,14.276803193268952,bert_uncased_L-4_H-256_A-4
20,0.9991232487890456,0.5925925925925926,16.68780333907516,17.012159418176722,14.483983357747396,13.00932354397244,14.260231865776907,bert_uncased_L-4_H-256_A-4
21,0.9784385297033522,0.6851851851851852,16.68755340576172,17.01194127400716,14.48434109157986,13.000365928367332,14.246573978000216,bert_uncased_L-4_H-256_A-4
22,0.9791394648728547,0.7407407407407407,16.68726165206344,17.011118429678458,14.494751541702836,12.987675419560183,14.226853688557943,bert_uncased_L-4_H-256_A-4
23,0.9705738866770708,0.7037037037037037,16.687208387586807,17.010788529007524,14.51008167973271,12.96245617336697,14.210172299985532,bert_uncased_L-4_H-256_A-4
24,0.9558717321466516,0.7222222222222222,16.687238763879847,17.010604999683522,14.526066391556352,12.933630060266566,14.19891173751266,bert_uncased_L-4_H-256_A-4
25,0.9462976654370626,0.6666666666666666,16.68729810361509,17.00912306043837,14.544932188811126,12.89356330589012,14.18234450728805,bert_uncased_L-4_H-256_A-4
26,0.9054987187738772,0.8703703703703703,16.68720061690719,17.006324344211155,14.566031138102211,12.851965727629484,14.16120147705078,bert_uncased_L-4_H-256_A-4
27,0.8825581360746313,0.8888888888888888,16.687103271484375,17.003529725251376,14.589351512767651,12.835315280490452,14.136352256492332,bert_uncased_L-4_H-256_A-4
28,0.8784742730635183,0.8148148148148148,16.687167838767724,17.00369827835648,14.601930971498843,12.876147800021702,14.100754349320024,bert_uncased_L-4_H-256_A-4
29,0.8415978749593099,0.8703703703703703,16.687404773853444,17.00452564380787,14.606884567825883,12.896345067907262,14.06380165947808,bert_uncased_L-4_H-256_A-4
30,0.8169908678090131,0.8703703703703703,16.687704156946253,17.00502367372866,14.600670708550346,12.888395097520617,14.034215573911313,bert_uncased_L-4_H-256_A-4
31,0.7848995151343169,0.925925925925926,16.68773834793656,17.004403290925204,14.59996979324906,12.883308834499784,14.01605153966833,bert_uncased_L-4_H-256_A-4
32,0.7567230750013281,0.9074074074074074,16.687488414623118,17.001482363100404,14.61905966864692,12.873030344645182,14.00198745727539,bert_uncased_L-4_H-256_A-4
33,0.7524650715015553,0.925925925925926,16.687452386926722,16.999389083297164,14.630729957863135,12.86937459309896,13.991749233669704,bert_uncased_L-4_H-256_A-4
34,0.7093509656411631,0.9814814814814816,16.687793590404368,16.99905706334997,14.63652589586046,12.874525564688224,13.964627159966362,bert_uncased_L-4_H-256_A-4
