epoch,loss,accuracy,emb,L1,L2,L3,L4,model
0,0.0,0.0,18.058996271204062,15.792782253689236,16.48461405436198,20.336478339301216,18.34545531096282,bert_uncased_L-4_H-512_A-8
1,1.119597112690961,0.2962962962962963,18.058977056432653,15.792724326804832,16.483277921323424,20.336199583830656,18.34570213600441,bert_uncased_L-4_H-512_A-8
2,1.138882460417571,0.3148148148148148,18.058950070981627,15.792391459147137,16.478801868580007,20.33277370311596,18.346423537642867,bert_uncased_L-4_H-512_A-8
3,1.1093521118164062,0.3703703703703703,18.05890429461444,15.791620325159144,16.471495593035662,20.32441259313513,18.34817815709997,bert_uncased_L-4_H-512_A-8
4,1.0986899667316012,0.4629629629629629,18.05883972733109,15.790137820773657,16.458823451289422,20.31510812264901,18.34792695222077,bert_uncased_L-4_H-512_A-8
5,1.1190261708365543,0.3148148148148148,18.05883209793656,15.788392667417172,16.44222174750434,20.30480787489149,18.35289043850369,bert_uncased_L-4_H-512_A-8
6,1.099258714252048,0.4074074074074074,18.058853149414062,15.786621941460504,16.42426653261538,20.29987617775246,18.35391800491898,bert_uncased_L-4_H-512_A-8
7,1.082309431499905,0.4074074074074074,18.058799743652344,15.785344441731771,16.408438505949796,20.29771338568793,18.35240752608688,bert_uncased_L-4_H-512_A-8
8,1.0712367119612518,0.4259259259259259,18.058807373046875,15.784489666974103,16.39700006555628,20.29227348610207,18.358607539424188,bert_uncased_L-4_H-512_A-8
9,1.0458168277034052,0.4814814814814814,18.0587597599736,15.783703839337385,16.387320765742547,20.287588472719545,18.361645451298468,bert_uncased_L-4_H-512_A-8
10,1.0296479529804654,0.5,18.058746337890625,15.78244541309498,16.36865446302626,20.26047332198532,18.364971867314093,bert_uncased_L-4_H-512_A-8
11,1.0302709429352372,0.4629629629629629,18.058732915807653,15.781720479329428,16.35740209508825,20.24573248404044,18.370049794514973,bert_uncased_L-4_H-512_A-8
12,1.0257926693669073,0.5925925925925926,18.05865662186234,15.78067398071289,16.346641257957177,20.23241368046513,18.37688530815972,bert_uncased_L-4_H-512_A-8
13,0.9587045775519476,0.7222222222222222,18.058683466028285,15.779737401891635,16.328777313232422,20.217001031946253,18.385046499746817,bert_uncased_L-4_H-512_A-8
14,0.9596267651628564,0.7592592592592593,18.05872528641312,15.77887641059028,16.30383696379485,20.20731495044849,18.38536382604528,bert_uncased_L-4_H-512_A-8
15,0.9193608473848414,0.8518518518518519,18.058639526367188,15.778015419288918,16.281344802291304,20.206766481752748,18.377154032389324,bert_uncased_L-4_H-512_A-8
16,0.9160611187970196,0.8148148148148148,18.05853087813766,15.778386151349103,16.265842861599392,20.22626184534144,18.36343751130281,bert_uncased_L-4_H-512_A-8
17,0.8723726956932633,0.9444444444444444,18.058511663366247,15.777658533166957,16.23675070868598,20.24341003983109,18.342457665337456,bert_uncased_L-4_H-512_A-8
18,0.8006372716691759,0.925925925925926,18.058374334264684,15.774531752974898,16.203188719572843,20.26598895037616,18.324485496238427,bert_uncased_L-4_H-512_A-8
19,0.7787016078277871,0.925925925925926,18.05835328278718,15.77143704449689,16.163786005090785,20.29964461149993,18.30912865532769,bert_uncased_L-4_H-512_A-8
20,0.7267400247079355,0.9629629629629628,18.058378290247035,15.769773695203993,16.1171839678729,20.31942000212493,18.289254082573784,bert_uncased_L-4_H-512_A-8
21,0.6634938164993569,0.9814814814814816,18.058393549036097,15.770611515751591,16.088948850278502,20.29739789609556,18.27466244167752,bert_uncased_L-4_H-512_A-8
22,0.5825339445361385,0.9814814814814816,18.058206487585,15.773161287660953,16.065640767415363,20.299266956470632,18.249749925401478,bert_uncased_L-4_H-512_A-8
23,0.520633911644971,0.9814814814814816,18.057886053014684,15.77500491672092,16.05593561243128,20.32456405074508,18.225626627604168,bert_uncased_L-4_H-512_A-8
24,0.4685366771839283,0.9814814814814816,18.057575084544997,15.776157944290729,16.066816541883682,20.37324410897714,18.18720104076244,bert_uncased_L-4_H-512_A-8
25,0.4029993304499873,1.0,18.05742645263672,15.776241585060404,16.1005613538954,20.43496689973054,18.14534999706127,bert_uncased_L-4_H-512_A-8
26,0.3436764412456088,1.0,18.0572834721318,15.777778342918111,16.104227843108,20.50436599166305,18.12086910671658,bert_uncased_L-4_H-512_A-8
27,0.295989747400637,1.0,18.057272028040003,15.778954682526765,16.101836027922452,20.542964228877317,18.10060656512225,bert_uncased_L-4_H-512_A-8
28,0.2433571611289624,1.0,18.05730424103913,15.779642599600333,16.095547993977863,20.550313737657333,18.06766199182581,bert_uncased_L-4_H-512_A-8
