epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,model
0,0.0,0.0,19.80352020263672,19.816826855694806,18.10125506365741,18.136117581967955,16.764715547914857,21.612142209653506,22.79559552228009,29.24956908049407,16.271940725821036,bert_uncased_L-8_H-512_A-8
1,1.1308240051622744,0.3888888888888889,19.80352783203125,19.81677740591544,18.10120928729022,18.13607759828921,16.765322226065177,21.612404152199076,22.795556245026766,29.250291612413196,16.272820084183305,bert_uncased_L-8_H-512_A-8
2,1.149740174964622,0.3333333333333333,19.803577281810615,19.81659444173177,18.100782606336807,18.135492819326892,16.764533431441695,21.612635859736688,22.794658519603587,29.25733071786386,16.266254707618995,bert_uncased_L-8_H-512_A-8
3,1.1268739656165794,0.3518518518518518,19.803661487720632,19.816285168683088,18.099764929877388,18.13372689706308,16.761448612919562,21.61249316180194,22.79229425500941,29.268825107150608,16.257233796296298,bert_uncased_L-8_H-512_A-8
4,1.115940848986308,0.3888888888888889,19.803793024133757,19.81588179976852,18.097989400227863,18.13089893482349,16.755086404305917,21.612042744954422,22.790252685546875,29.281373200593173,16.241409725613064,bert_uncased_L-8_H-512_A-8
5,1.0895875957277086,0.3148148148148148,19.803865362096715,19.8154780069987,18.095680943241828,18.127696284541376,16.745886343496817,21.60990284107349,22.78752023202401,29.29014728687428,16.225673110396773,bert_uncased_L-8_H-512_A-8
6,1.1108472258956343,0.3703703703703703,19.803922723840785,19.81528642442491,18.0949619434498,18.128206606264467,16.74295750370732,21.610153198242188,22.78607319019459,29.282013787163628,16.23217010498047,bert_uncased_L-8_H-512_A-8
7,1.063149098996763,0.5185185185185185,19.803987432409212,19.814969804551865,18.094569312201607,18.128957112630207,16.740824381510418,21.61409222638165,22.788807621708624,29.255637557418257,16.246374200891566,bert_uncased_L-8_H-512_A-8
8,1.0506701933013067,0.5555555555555556,19.804000854492188,19.81477511370624,18.09400388929579,18.12890483714916,16.73823476720739,21.62204431604456,22.79784647623698,29.199541162561488,16.294147632740163,bert_uncased_L-8_H-512_A-8
9,1.0338334330806025,0.6296296296296297,19.80395691483109,19.81496259901259,18.095058017306854,18.13386592158565,16.746148144757306,21.63965126320168,22.821762084960938,29.08146526195385,16.38670504534686,bert_uncased_L-8_H-512_A-8
