epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,model
0,0.0,0.0,14.785798955846715,12.47539124665437,12.360667052092376,13.46428284821687,16.12959317807798,15.955043368869358,16.580947593406396,18.57347601431388,21.97257317437066,24.42061530219184,26.0033846254702,28.435743543836807,15.114105507179543,bert_uncased_L-12_H-768_A-12
1,1.1347179103780676,0.3518518518518518,14.785854480884693,12.475362141927084,12.360833203351056,13.465349550600406,16.13062243991428,15.956369046811703,16.58382797241211,18.573407491048176,21.970662434895832,24.42158395272714,26.003700821487996,28.442193773057724,15.110559110288266,bert_uncased_L-12_H-768_A-12
2,1.1246215480345267,0.3333333333333333,14.786013426604097,12.475145410608365,12.361204359266493,13.46759146231192,16.130927756980615,15.957227494981554,16.593075505009406,18.573510487874348,21.964328624584056,24.425021136248557,26.00669860839844,28.468836466471355,15.101731476960358,bert_uncased_L-12_H-768_A-12
3,1.1246270294542666,0.3518518518518518,14.786196673357928,12.474861710159868,12.361632735640914,13.469844676830151,16.134262084960938,15.96125708685981,16.60654435334382,18.575360898618342,21.958576061107493,24.4285159640842,26.002058806242765,28.4902756302445,15.09129559552228,bert_uncased_L-12_H-768_A-12
4,1.0817328779785722,0.3148148148148148,14.786438129566331,12.474731304027417,12.36266835530599,13.476434495713976,16.15085573549624,15.976232740614147,16.626101458514178,18.57994418674045,21.95539064760561,24.43162027994792,25.995104754412612,28.50485794632523,15.084898348207828,bert_uncased_L-12_H-768_A-12
5,1.061462954238609,0.4444444444444444,14.786724231861257,12.474606408013235,12.363900926378038,13.483882338912398,16.16580030653212,15.990571763780382,16.651539555302374,18.59754816691081,21.959209300853587,24.43285228587963,25.977591903121382,28.498632925528067,15.086146743209271,bert_uncased_L-12_H-768_A-12
6,1.0426252329791037,0.4444444444444444,14.787017822265623,12.474295298258465,12.365126433195892,13.494115476255065,16.18882299352575,16.01531473795573,16.682859350133825,18.630895261411315,21.97703778302228,24.42952134874132,25.952773482711223,28.462151986581308,15.121411076298466,bert_uncased_L-12_H-768_A-12
7,1.016104305232013,0.5740740740740741,14.787283014368128,12.474325109411168,12.366973876953123,13.502080140290436,16.207171122233074,16.04271966439706,16.724874001962167,18.703626844618057,22.017719410083917,24.420664469401043,25.90946140995732,28.389257077817565,15.189871187563297,bert_uncased_L-12_H-768_A-12
8,1.000862799308918,0.5185185185185185,14.78757957175926,12.474245142053675,12.369331501148364,13.509436148184315,16.227444966634113,16.07438193427192,16.769279762550635,18.77557556717484,22.06221573441117,24.409899958857785,25.85021577058015,28.28019799126519,15.311440079300493,bert_uncased_L-12_H-768_A-12
9,0.9575205710199144,0.5740740740740741,14.787846741852936,12.473680001718026,12.370508971037689,13.513524373372396,16.24557014747902,16.09232499864366,16.777047333893954,18.809753983109086,22.097909998010707,24.400361520272718,25.810400786223237,28.160456904658563,15.455230430320457,bert_uncased_L-12_H-768_A-12
10,0.8975561283252858,0.7777777777777778,14.787996221471715,12.473420319733796,12.371766125714338,13.52158765439634,16.279610104031033,16.1172937463831,16.78189468383789,18.847183933964484,22.14583389847367,24.38519937020761,25.77994339554398,28.045076723451967,15.630464341905382,bert_uncased_L-12_H-768_A-12
11,0.8402029607031081,0.7777777777777778,14.7882527951841,12.472859841805915,12.374314060917609,13.540608723958334,16.33651860555013,16.172144289369935,16.82412408899378,18.95441634566696,22.23462253146701,24.35308837890625,25.68946725350839,27.8395346182364,15.932437896728516,bert_uncased_L-12_H-768_A-12
12,0.7680697065812571,0.8703703703703703,14.788817370379412,12.472198910183376,12.383063704879197,13.589724364104097,16.43993024472837,16.314697406910085,16.983993530273438,19.2120519567419,22.37876072636357,24.302112438060615,25.50015089246962,27.544575726544416,16.443063100179035,bert_uncased_L-12_H-768_A-12
